ID,Host,Isolate
MW588064,,
MW588062,,
PP174201,,SP2C_k141_173245
PP174197,,SP2C_k141_157132
PP174176,,SP2B_k141_169106
PP174052,,SP1C_k141_170176
PP174037,,SP1C_k141_138402
PP173952,,SP1A_k141_93956
PP173905,,SP1A_k141_108659
PP173619,,MP3_k141_278491
PP173376,,KCAP3_k141_88145
PP173125,,KCAP3_k141_153500
PP172690,,KCAP1_k141_334640
PP172253,,CN1B_k141_41676
PP172252,,CN1B_k141_41417
PP171953,,CC1B_k141_72897
PP171789,,CC1A_k141_26573
OQ986648,,GEIG
OQ986679,,GEIG
OQ986609,,RHFU
OQ986608,,RHFU
OQ986607,,GEIG
OQ986677,,GEIG
OQ986606,,GEIG
OM954094,,CMP2_DN37632_c0_g1_i1
OM954082,,CMU2_DN72442_c0_g1_i1
OM954081,,CMU2_DN76774_c0_g2_i1
OM953851,,CMF2_DN25939_c0_g1_i1
OM953850,,CMU1_DN176158_c0_g1_i1
OM953849,,CMF2_DN31075_c0_g1_i1
OM953848,,CMF1_DN41184_c0_g1_i1
OM953847,,CMF1_DN41866_c1_g1_i1
OM953846,,CMF2_DN30973_c0_g1_i4
OM953842,,CMU2_DN75963_c0_g1_i1
OM953841,,CMU2_DN78443_c0_g1_i1
MZ603076,,HAstV-VA2_RVAB
MT138010,,prf037ast2
MT138007,,ltr178ast1
MT138005,,hwf041ast1
MT138002,,cra070ast1
MT137999,,coa196ast1
MT137996,,cfe153ast01
MT138009,,prf037ast1nc
MT137995,,bun145astnc1
MT137994,,bsk136ast01
MT137991,,bbr144ast1
MN920670,,ybw202ast01
MN920669,,ybb150ast01
MN920668,,war204ast1
MN920663,,spa143ast1
MN035893,,H3_Bulk_Litter_17_scaffold_17037
MN035758,,H1_Rhizo_26_FD_scaffold_114
MN034752,,H1_Rhizo_Litter_1_scaffold_1158
MN034082,,H2_Bulk_35_scaffold_28
MN033591,,H4_Rhizo_44_scaffold_12707
MG599905,,
MG599884,,
LT706531,,UK/2013/ewe/lib01454
KF753807,,
JX544744,,
AF206663,,
