Host;Isolate;class
Crossorhombus sp.;;Actinopterygii
Crow;;Aves
Homo sapiens;BtnMLB1-86;Mammalia
Nyctereutes procyonoides(racoon dog);AstV/Raccoon_dog/Kodo2023-51/2023/JPN;Mammalia
Oryctes sp.;Or_elegans1_agamemnon2;
Porcupine;;Mammalia
Red-necked Avocet;"AstV/Red-necked Avocet/MW08/Interior; AstV/Red-necked Avocet/MW09/Interior";Aves
Su. murinus;K8f_52_Astrovirus_shrew_240620;Mammalia
Tursiops truncatus (Bottlenose dolphin);;Mammalia
bat;BAstV/RB;Mammalia
bird;"XZN01; YSN01; YSN02";Aves
canine;"AstroviridaeDogfe326C1full; AstroviridaeDogfe337C1full; AstroviridaeDogfe351C1full";Mammalia
environment;G20_108;
fish;"GX2017; JX2020";
white eye;D11-148.2/HK;
