ID,Host,Isolate
PV843273,,S091-2023_1
LC877794,,VA3/env/Japan/HK250408_7/2024
LC877793,,VA1/env/Japan/HK250408_13/2025
PQ619424,,LVCA6717_Rio/2022/MLB1
PQ619423,,LVCA6623_Rio/2022/MLB1
PQ619422,,LVCA6643_Rio/2022/HAstV-1
PQ619421,,LVCA6623_Rio/2022/HAstV-1
PQ619420,,LVCA6619_Rio/2022/HAstV-1
PQ619419,,LVCA6487_Rio/2022/HAstV-1
FJ222451,,MLB1
PG036827,,
PG036826,,
PG036825,,
PG036824,,
PG036823,,
PG036822,,
PG036821,,
PG036820,,
PD223317,,
PD223316,,
PD222915,,
PD222914,,
PL092599,,
PL092591,,
PL092587,,
PL092412,,
PL092404,,
PL092400,,
PL092225,,
PL092217,,
PL092213,,
PL190248,,
PQ530056,,MBC147
PQ335170,,2022/BE11
MW588064,,
MW588063,,
MW588062,,
PP174209,,SP2C_k141_91606
PP174201,,SP2C_k141_173245
PP174197,,SP2C_k141_157132
PP174176,,SP2B_k141_169106
PP174162,,SP2B_k141_107145
PP174151,,SP2A_k141_7423
PP174138,,SP2A_k141_35481
PP174099,,SP1C_k141_286028
PP174094,,SP1C_k141_272984
PP174089,,SP1C_k141_256458
PP174052,,SP1C_k141_170176
PP174037,,SP1C_k141_138402
PP174020,,SP1B_k141_83016
PP173978,,SP1B_k141_199511
PP173959,,SP1B_k141_111077
PP173952,,SP1A_k141_93956
PP173914,,SP1A_k141_13111
PP173905,,SP1A_k141_108659
PP173693,,RCCP2_k141_11635
PP173657,,MP3_k141_5253
PP173621,,MP3_k141_280909
PP173619,,MP3_k141_278491
PP173590,,MP3_k141_212809
PP173384,,KCAP3_k141_90808
PP173376,,KCAP3_k141_88145
PP173374,,KCAP3_k141_87564
PP173284,,KCAP3_k141_317163
PP173191,,KCAP3_k141_228666
PP173172,,KCAP3_k141_208509
PP173125,,KCAP3_k141_153500
PP172939,,KCAP2_k141_248179
PP172843,,KCAP1_k141_96123
PP172792,,KCAP1_k141_594990
PP172759,,KCAP1_k141_499726
PP172690,,KCAP1_k141_334640
PP172253,,CN1B_k141_41676
PP172252,,CN1B_k141_41417
PP172218,,CN1B_k141_108059
PP172159,,CN1A_k141_102692
PP172104,,CC1C_k141_67333
PP172017,,CC1C_k141_19247
PP172009,,CC1C_k141_14283
PP171968,,CC1B_k141_86991
PP171953,,CC1B_k141_72897
PP171789,,CC1A_k141_26573
PP171787,,CC1A_k141_18682
PP171767,,CC1A_k141_121977
PP236967,,HAstVVA1CASLlab
OQ986647,,RHFU
OQ986649,,GEIG
OQ986648,,GEIG
OQ986679,,GEIG
OQ986609,,RHFU
OQ986608,,RHFU
OQ986607,,GEIG
OQ986677,,GEIG
OQ986606,,GEIG
OQ986605,,BOPU
OQ986681,,GEIG
OQ986680,,GEIG
OQ986678,,GEIG
OQ986676,,RHFU
OR626615,,03-IZET
OP946740,,
OP946739,,
