Host,Isolate_x,class
Canis lupus familiaris,KU_CaAstV_15; KU_CaAstV_65; KU_CaAstV_79,
Chaerephon leucogaster,AMB-A053,
Eptesicus pachyomus,233668(Anhui); 233669(Anhui),
Homo sapiens,07NF; 09NF; 101NF; 103NF; 104NF; 10NF; 115NF; 118NF; 121NF; 130NF; 134NF; 148NF; 151NF; 159NF; 169NF; 17W1028; 37NF; 43NF; 48NF; 76NF; BtnMLB1-40; BtnMLB1-86; D-123/2014/KOR; D-1312/2016/KOR; D-1415/2017/KOR; D-269/2014/KOR; E1006; E1048; E1058; E1064; E1120; E1132; E1138; E1200; E381; E405; E411; E414; E420; E423; E426; E429; E435; E441; E444; E453; E462; E465; E471; E474; E504; E516; E537; E573; E751; E784; E801; E865; E905; E911; E924; E928; E929; E931; E943; E963; E968; E974; E984; E986; E998; GUP024Astro; GUP125Astro; GUP187; GUP187Astro; GUP216Astro; HAstV-1/RUS/Novosibirsk/NS11-N2230/2011; HAstV-1/RUS/Novosibirsk/NS11-N3310/2011; HAstV-1/RUS/Novosibirsk/NS11-N3392/2011; HAstV-1/RUS/Novosibirsk/NS12-N3481/2012; HAstV-1/RUS/Novosibirsk/NS12-N3776/2012; HAstV-1/RUS/Novosibirsk/NS12-N3776/2012/type-1a; HAstV-1/RUS/Novosibirsk/NS16-A728/2016/type-1a; HAstV-1/RUS/Novosibirsk/NS16-A808/2016/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A1020/2017; HAstV-1/RUS/Novosibirsk/NS17-A1020/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A1250/2017; HAstV-1/RUS/Novosibirsk/NS17-A1250/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A1346/2017; HAstV-1/RUS/Novosibirsk/NS17-A1346/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A1362/2017; HAstV-1/RUS/Novosibirsk/NS17-A1362/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A844/2017; HAstV-1/RUS/Novosibirsk/NS17-A844/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A856/2017; HAstV-1/RUS/Novosibirsk/NS17-A856/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS17-A889/2017; HAstV-1/RUS/Novosibirsk/NS17-A889/2017/type-1a; HAstV-1/RUS/Novosibirsk/NS18-A1443/2018; HAstV-1/RUS/Novosibirsk/NS18-A1448/2018; HAstV-1/RUS/Novosibirsk/NS18-A1520/2018; HAstV-1/RUS/Novosibirsk/NS18-A1586/2018; HAstV-1/RUS/Novosibirsk/Nsc07-1763/2007; HAstV-1/RUS/Novosibirsk/Nsc10-N1391/2010; HAstV-1/RUS/Novosibirsk/Nsc10-N52/2010; HAstV-1/RUS/Novosibirsk/Nsc11-N1780/2011; HAstV-1/RUS/Novosibirsk/Nsc12-N3908/2012; HAstV-1/RUS/Novosibirsk/Nsk10-N1184/2010; HAstV-1/RUS/Novosibirsk/Nsk10-N188/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N230/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N313/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N716/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N734/2010; HAstV-1/RUS/Novosibirsk/Nsk10-N756/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N763/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N764/2010; HAstV-1/RUS/Novosibirsk/Nsk10-N764/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N772/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N858/2010/type-1d; HAstV-1/RUS/Novosibirsk/Nsk10-N918/2010; HAstV-1/RUS/Novosibirsk/Nsk10-N918/2010/type-1c; HAstV-1/RUS/Novosibirsk/Nsk10-N919/2010/type-1c; HAstV-1/RUS/Omsk/O822/2011; HAstV-1a/RUS/Novosibirsk/NS16-A460/2016; HAstV-1a/RUS/Novosibirsk/NS16-A728/2016; HAstV-1a/RUS/Novosibirsk/Nsc12-N3908/2012; HAstV-1a/RUS/Omsk/O1053/2011; HAstV-1a/RUS/Omsk/O1062/2011; HAstV-1a/RUS/Omsk/O754/2011; HAstV-1a/RUS/Omsk/O785/2010; HAstV-1d/RUS/Omsk/O554/2010; HAstV-2/RUS/Novosibirsk/Nsc11-N2411/2011; HAstV-2/RUS/Novosibirsk/Nsk08-3040/2008; HAstV-3/RUS/Novosibirsk/NS10-N1466/2010; HAstV-3/RUS/Novosibirsk/NS11-N2660/2011; HAstV-3/RUS/Novosibirsk/NS11-N3179/2011; HAstV-3/RUS/Novosibirsk/NS11-N3261/2011; HAstV-4/RUS/Novosibirsk/NS10-N1139/2010; HAstV-4/RUS/Novosibirsk/NS12-N4956/2012; HAstV-4/RUS/Novosibirsk/NS12-N4956/2012/type-4c; HAstV-4/RUS/Novosibirsk/NS12-N5130/2012; HAstV-4/RUS/Novosibirsk/NS12-N5130/2012/type-4c; HAstV-4/RUS/Novosibirsk/NS13-11/2013; HAstV-4/RUS/Novosibirsk/NS13-16/2013; HAstV-4/RUS/Novosibirsk/NS16-A122/2016; HAstV-4/RUS/Novosibirsk/NS16-A223/2016; HAstV-4/RUS/Novosibirsk/NS16-A277/2016; HAstV-4/RUS/Novosibirsk/NS16-A291/2016; HAstV-4/RUS/Novosibirsk/NS16-A38/2016; HAstV-4/RUS/Novosibirsk/NS16-A391/2016; HAstV-4/RUS/Novosibirsk/NS16-A447/2016; HAstV-4/RUS/Novosibirsk/NS16-A815/2016; HAstV-4/RUS/Novosibirsk/NS16-A815/2016/type-4c; HAstV-4/RUS/Novosibirsk/NS17-A829/2017; HAstV-4/RUS/Novosibirsk/NS17-A829/2017/type-4c; HAstV-4/RUS/Novosibirsk/NS17-A832/2017; HAstV-4/RUS/Novosibirsk/NS17-A832/2017/type-4c; HAstV-4/RUS/Novosibirsk/NS17-A878/2017; HAstV-4/RUS/Novosibirsk/NS17-A878/2017/type-4c; HAstV-4/RUS/Novosibirsk/NS17-A899/2017; HAstV-4/RUS/Novosibirsk/NS17-A899/2017/type-4c; HAstV-4/RUS/Novosibirsk/NS17-A910/2017/type-4c; HAstV-4/RUS/Novosibirsk/Nsc10-N1190/2010; HAstV-5/RUS/Krasnoyarsk/K12-28/2012; HAstV-5/RUS/Krasnoyarsk/K13-45/2013; HAstV-5/RUS/Krasnoyarsk/K13-52/2013; HAstV-5/RUS/Novosibirsk/NS11-N3311/2011; HAstV-5/RUS/Novosibirsk/NS12-01/2012; HAstV-5/RUS/Novosibirsk/NS12-N3929/2012; HAstV-5/RUS/Novosibirsk/NS12-N3929/2012/type-5c; HAstV-5/RUS/Novosibirsk/NS12-N4718/2012; HAstV-5/RUS/Novosibirsk/NS12-N4718/2012/type-5c; HAstV-5/RUS/Novosibirsk/NS12-N4805/2012; HAstV-5/RUS/Novosibirsk/NS12-N4805/2012/type-5c; HAstV-5/RUS/Novosibirsk/NS12-N4806/2012; HAstV-5/RUS/Novosibirsk/NS12-N4806/2012/type-5c; HAstV-5/RUS/Novosibirsk/NS12-N5018/2012; HAstV-5/RUS/Novosibirsk/NS12-N5018/2012/type-5c; HAstV-5/RUS/Novosibirsk/NS12-N5029/2012; HAstV-5/RUS/Novosibirsk/NS12-N5029/2012/type-5c; HAstV-5/RUS/Smolensk/S12-101/2012; HAstV-5/RUS/Smolensk/S12-88/2012; HAstV-5/RUS/Vladivostok/V13-05/2013; HAstV-8/RUS/Novosibirsk/NS16-A87/2016; HAstV-8/RUS/Novosibirsk/NS16-C16/2016; ICMH108Astro; ICMH433Astro; ICMH469Astro; ICMH573Astro; ICMH590Astro; ICMH642Astro; ICMH666Astro; IDH1300; IDH1309; IDH1371; IDH1387; IDH1448; IDH1451; IDH1482; IDH198; IDH2211; IDH2310; IDH2392; IDH2455; L874; L918; L922; MAstV-1/Human/RUS/2010/O554/Omsk/type-1d; MAstV-1/Human/RUS/2010/O691/Omsk/type-1c; MAstV-1/Human/RUS/2010/O785/Omsk/type-1a; MAstV-1/Human/RUS/2011/O1053/Omsk/type-1a; MAstV-1/Human/RUS/2011/O1055/Omsk/type-1a; MAstV-1/Human/RUS/2011/O1057/Omsk/type-1a; MAstV-1/Human/RUS/2011/O1062/Omsk/type-1a; MAstV-1/Human/RUS/2011/O754/Omsk/type-1a; MAstV-1/Human/RUS/2011/O822/Omsk/type-1c; MAstV-1/Human/RUS/2012/K12-28/Krasnoyarsk/type- 5c; MAstV-1/Human/RUS/2012/NS12-01/Novosibirsk/type- 5c; MAstV-1/Human/RUS/2012/S12-101/Smolensk/type-5c; MAstV-1/Human/RUS/2012/S12-88/Smolensk/type-5c; MAstV-1/Human/RUS/2013/K13-45/Krasnoyarsk/type- 5c; MAstV-1/Human/RUS/2013/K13-52/Krasnoyarsk/type- 5c; MAstV-1/Human/RUS/2013/NS13-11/Novosibirsk/type- 4c; MAstV-1/Human/RUS/2013/NS13-16/Novosibirsk/type- 4c; MAstV-1/Human/RUS/2013/V13-05/Vladivostok/type- 5c; XN309; XN36; XN37; XN461; XN527; XN528; Xn545; Z803; Z932; Z976,
Hylomyscus sp.,Astrovirus_PREDICT MAstV-110/SI-044; Astrovirus_PREDICT MAstV-110/SI-045; Astrovirus_PREDICT MAstV-110/SI-084; Astrovirus_PREDICT MAstV-110/SI-089; Astrovirus_PREDICT MAstV-110/SI-091,
Hylopetes sp.,PREDICT MAstV-135/LAP11-G0005,
Hystrix cristata (porcupine),Mastv/porcupine/484/IT,
Luposicya lupus,F16; F17; F18,
Macronycteris commersoni,SMG17321; SMG17391; SMG17393,
Meleagris gallopavo,TAstV-2/Brazil/2004/USP-30,
