Host,Group
50-day-old Landes geese,50-day-old Landes geese
Alisterus scapularis,Alisterus scapularis
Anser anser,Anser anser
Anser indicus (Bar-headed goose),Anser indicus (Bar-headed goose)
Anser sp.,Anser sp.
Arenaria interpres (ruddy turnstone),Arenaria interpres (ruddy turnstone)
Beijing duck,Beijing duck
Canis lupus familiaris,Canis lupus familiaris
Crow,Crow
Cynops orientalis,Cynops orientalis
Duck,Duck
Duttaphrynus melanostictus,Duttaphrynus melanostictus
Eolophus roseicapilla,Eolophus roseicapilla
Gallus gallus,Gallus gallus
Gallus gallus (broiler),Gallus gallus (broiler)
Gallus gallus broiler chicken,Gallus gallus broiler chicken
Gallus gallus domesticus (broiler),Gallus gallus domesticus (broiler)
Gekko similignum,Gekko similignum
Goose,Goose
Hemidactylus bowringii,Hemidactylus bowringii
Heteronotia planiceps,Heteronotia planiceps
Hortobagy goose,Hortobagy goose
Jiangnan White Goose,Jiangnan White Goose
Jinding ducks,Jinding ducks
Lande geese,Lande geese
Leucogeranus leucogeranus,Leucogeranus leucogeranus
Lingxian White Goose,Lingxian White Goose
Mareca falcata,Mareca falcata
Muscovy duck,Muscovy duck
Muscovy-duck,Muscovy-duck
Neogale vison,Neogale vison
Passeriformes,Passeriformes
Pekin duck,Pekin duck
Pelophylax nigromaculatus,Pelophylax nigromaculatus
Phrynocephalus erythrurus,Phrynocephalus erythrurus
Polypedates megacephalus,Polypedates megacephalus
Red-necked Avocet,Red-necked Avocet
Sus scrofa (wild boar),Sus scrofa (wild boar)
bird,bird
carrier pigeon,carrier pigeon
chicken,chicken
duck,duck
feral pigeon,feral pigeon
goose,goose
goose embryo,goose embryo
gosling,gosling
goslings,goslings
house crow,house crow
landaise,landaise
laying hens,laying hens
pigeon,pigeon
spotted dove,spotted dove
turkey,turkey
