host,class
Canis lupus familiaris,Mammalia
chicken (broiler),
Homo sapiens,Mammalia
Trichosurus vulpecula,Mammalia
goose,Aves
Rhinolophus sinicus,Mammalia
Rhinolophus affinis,Mammalia
Rhinolophus ferrumequinum,Mammalia
Myotis sp.,Mammalia
Miniopterus schreibersii,Mammalia
Chiroptera sp.,
Hipposideros sp.,Mammalia
Rhinolophus pusillus,Mammalia
Taphozous sp.,Mammalia
Myotis chinensis,Mammalia
Myotis laniger,Mammalia
Rousettus leschenaultii,Mammalia
Myotis adversus,Mammalia
Myotis siligorensis,Mammalia
Hipposideros pomona,Mammalia
Taphozous melanopogon,Mammalia
Miniopterus pusillus,Mammalia
Myotis pilosus,Mammalia
fish,
Hipposideros larvatus,Mammalia
Scotophilus kuhlii,Mammalia
Tylonycteris pachypus,Mammalia
Gallus gallus gallus,Aves
pigeon,
pig,Mammalia
Chroicocephalus ridibundus,Aves
Leopardus guttulus,Mammalia
rat,Mammalia
Gyps himalayensis,Aves
Anser anser,Aves
Neodon fuscus,Mammalia
Pseudois nayaur,Mammalia
Urocricetus kamensis,Mammalia
sheep,Mammalia
Bactrian camel,Mammalia
Vulpes vulpes (fox),
Su. murinus,
goat; Mixed breed,
Myotis ciliolabrum,Mammalia
Leucogeranus leucogeranus,Aves
Anser sp.,Aves
Capra hircus,Mammalia
Suncus murinus,Mammalia
Crocidura dracula,Mammalia
Anourosorex squamipes,Mammalia
Episoriculus caudatus,Mammalia
Crocidura suaveolens,Mammalia
Uropsilus gracilis,Mammalia
Crocidura attenuata,Mammalia
Gallus gallus,Aves
cat,Mammalia
Dicentrarchus labrax,Actinopteri
Sus scrofa domesticus,Mammalia
Sus scrofa (wild boar),Mammalia
Bos taurus,Mammalia
Marmota sibirica,Mammalia
Botrylloides leachii,Ascidiacea
Cebus cuscinus,
Rattus norvegicus,Mammalia
Cricetulus longicaudatus,Mammalia
Ateles chamek,Mammalia
porcine,
Tufted duck,Aves
Gadwall,Aves
Meleagris gallopavo domesticus,
Mus musculus,Mammalia
Pig,Mammalia
cattle,Mammalia
swine,Mammalia
Tursiops truncatus (Bottlenose dolphin),
Eumetopias jubatus (Steller sea lion),Mammalia
Zalophus californianus (California sea lion),Mammalia
Hipposideros armiger,Mammalia
duck,Aves
chicken,Aves
Muscovy duck,Aves
Phocarctos hookeri (New Zealand sea lion),Mammalia
rook,Aves
Eurasian tree sparrow,Aves
hooded crow,Aves
Scotophilus dinganii; sex: male,
Miniopterus fraterculus; sex: male,
Rattus tanezumi,Mammalia
Neogale vison,Mammalia
bovine,Mammalia
Rattus rattus,Mammalia
Praomys rostratus,Mammalia
Mus setulosus,Mammalia
Miniopterus inflatus,Mammalia
Mastomys erythroleucus,Mammalia
Lophuromys chrysopus,Mammalia
Felis catus (domestic cat),Mammalia
Rhipicephalus sanguineus,Arachnida
goat,Mammalia
canine,
Niviventer confucianus,Mammalia
Apodemus chevrieri,Mammalia
Crocidura fuliginosa,Mammalia
Eothenomys miletus,Mammalia
Rattus nitidus,Mammalia
Niviventer huang,Mammalia
Leopoldamys neilli,Mammalia
Araneus ventricosus,Arachnida
Helobdella robusta,Clitellata
Gekko chinensis,Lepidosauria
Hemidactylus frenatus,Lepidosauria
Eolophus roseicapilla,Aves
Alisterus scapularis,Aves
Acalles camelus,Insecta
Columba livia,Aves
Mormopterus francoismoutoui,Mammalia
dairy cow,Mammalia
Nyctereutes procyonoides(racoon dog),
Felis catus,Mammalia
Ortmanniana pectorosa,Bivalvia
Myotis macrodactylus,Mammalia
Miniopterus fuliginosus,Mammalia
Anser indicus (Bar-headed goose),Aves
duck; breed: muscovy,
Procambarus clarkii,Malacostraca
Urva auropunctata,Mammalia
Bos mutus,Mammalia
calf,
Jiangnan White Goose,Aves
Mareca falcata,Aves
Crocidura tanakae,Mammalia
Crocidura shantungensis,Mammalia
Crocidura lasiura,Mammalia
Oryctes sp.,
carrier pigeon,Aves
Rousettus madagascariensis,Mammalia
Eidolon dupreanum,Mammalia
Sus scrofa,Mammalia
Nyctalus noctula,Mammalia
ticks,Arachnida
Heteronotia binoei,Lepidosauria
Heteronotia planiceps,Lepidosauria
Pogonophryne immaculata,Actinopteri
Muraenolepis sp.,Actinopteri
Microgale brevicaudata; sex: male,
Rattus rattus; sex: female,
Rattus rattus; sex: male,
Rattus rattus; female,
Rattus rattus; male,
Mus musculus; male,
Mus musculus; female,
Rousettus aegyptiacus,Mammalia
Aethomys hindei,Mammalia
Coleura afra,Mammalia
Miniopterus sp. clade 1 TD-2020,Mammalia
Miniopterus sp. clade 10 TD-2020,Mammalia
Miniopterus sp. B76,Mammalia
Miniopterus minor,Mammalia
Cardioderma cor,Mammalia
Hipposideros caffer,Mammalia
Mops condylurus,Mammalia
Rhinolophus pearsonii,Mammalia
Myotis ricketti,Mammalia
Ia io,Mammalia
Rhizomys pruinosus,Mammalia
Rattus pyctoris,Mammalia
Niviventer sp.,Mammalia
Caracal caracal,Mammalia
Eviota sp.,Actinopteri
Dascyllus reticulatus,Actinopteri
Chaetodon baronessa,Actinopteri
Plagiotremus tapeinosoma,Actinopteri
Chromis viridis,Actinopteri
Nyctalus plancyi; sex: female,
Nyctalus plancyi; sex: male,
Rhinolophus pusillus; sex: male,
Scotophilus kuhlii; sex: male,
Scotophilus kuhlii; sex: female,
Taphozous melanopogon; sex: female,
Taphozous melanopogon; sex: female (pregnant),
Tylonycteris robustula; sex: male,
Eptesicus pachyomus; sex: female,
Myotis ricketti; sex: male,
Myotis ricketti; sex: female,
Miniopterus schreibersii; sex: female,
Miniopterus schreibersii; sex: male,
Ovis aries,Mammalia
Marmota caudata,Mammalia
Betta splendens,Actinopteri
Oryctolagus cuniculus,Mammalia
Peking duckling,
Woodworthia maculata,Lepidosauria
Oligosoma aeneum,Lepidosauria
Pelophylax nigromaculatus,Amphibia
duck; breed: Pekin,
dog,Mammalia
racing pigeon,
Anguilla dieffenbachii,Actinopteri
wild boar,Mammalia
red fox,Mammalia
Goose,Aves
Duck,Aves
Canis lupus familiaris; sex: male,
Canis lupus familiaris; sex: female,
Hierococcyx sparverioides,Aves
Pachyptila vittata,Aves
Gonidea angulata,Bivalvia
Araneae,Arachnida
Oribatida,Arachnida
Rattus_tanezumi,Mammalia
Turdus dissimilis,Aves
Bandicota savilei,Mammalia
Chalinolobus tuberculatus,Mammalia
Rhinolophus sp.,Mammalia
Pipistrellus pipistrellus,Mammalia
Vespertilio sinensis,Mammalia
Phasianus colchicus,Aves
Aythya marila,Aves
Anas acuta,Aves
Anas crecca,Aves
Streptopelia orientalis,Aves
ferret,Mammalia
Chodsigoa smithii,Mammalia
Niviventer niviventer,Mammalia
Typhlomys cinereus,Mammalia
Apodemus agrarius,Mammalia
Pipistrellus abramus,Mammalia
Myotis davidii,Mammalia
Hypsugo pulveratus,Mammalia
Leopoldamys edwardsi,Mammalia
Niviventer fulvescens,Mammalia
Berylmys bowersi,Mammalia
Rattus losea,Mammalia
Hipposideros pratti,Mammalia
laying hens,
Bovine,Mammalia
Hipposideros sp. (bat),
bat,
Rhinolophus sp. (bat),
Miniopterus sp. (bat),
Eidolon helvum (bat),
Nycteris sp. (bat),
bird,
Domestic goat,Mammalia
amur tiger,Mammalia
Limnochromis auritus,Actinopteri
Benthochromis horii,Actinopteri
Xenotilapia nasus,Actinopteri
Lamprologus kungweensis,Actinopteri
Petrochromis famula,Actinopteri
Neolamprologus brevis,Actinopteri
Enantiopus melanogenys,Actinopteri
Xenotilapia boulengeri,Actinopteri
Neolamprologus tetracanthus,Actinopteri
Retropinna retropinna,Actinopteri
Nyctereutes procyonoides (Raccoon dog),Mammalia
Miniopterus orianae oceanensis,Mammalia
donkey,Mammalia
Bos taurus breed Hanwoo,
Eonycteris spelaea,Mammalia
Rhinolophus stheno,Mammalia
Rhinolophus thomasi,Mammalia
Cynopterus sphinx,Mammalia
Rhinolophus macrotis,Mammalia
Ovibos moschatus,Mammalia
Podarcis siculus; sex: female,
Podarcis siculus; sex: male,
Tarentola mauritanica; sex: female,
Tarentola mauritanica; sex: male,
Canis lupus (wolf),Mammalia
Cervus elaphus (red deer),Mammalia
Mustelidae,Mammalia
Hystrix cristata (porcupine),
rodent,Mammalia
feline,
Bufo gargarizans,Amphibia
Sus scrofa domesticus (pig),
Rattus flavipectus,Mammalia
Hippocampus erectus,Actinopteri
environment,
goose embryo,
Cow,Mammalia
Blenniella sp.,
Luposicya lupus,
Istigobius goldmanni,Actinopteri
Asterropteryx semipunctata,Actinopteri
Istigobius nigroocellatus,Actinopteri
Istigobius decoratus,Actinopteri
Cabillus tongarevae,Actinopteri
Capreolus capreolus (roe deer),
Vulpes vulpes (red fox),Mammalia
Sichuan takin,Mammalia
Water buffalo,Mammalia
Gallus gallus domesticus (broiler),
cow,Mammalia
rhinos,
deer,Mammalia
piglet,
Camelus bactrianus,Mammalia
Camelus dromedarius,Mammalia
landaise,
murine,
Corvus frugilegus,Aves
Coloeus monedula,Aves
Hirundo rustica,Aves
Merops apiaster,Aves
Hydroprogne caspia,Aves
Porcine,
Strophurus ciliaris,Lepidosauria
goslings,
Anser indicus,Aves
Mus pahari,Mammalia
Mus caroli,Mammalia
porcupine,
Manis javanica,Mammalia
50-day-old Landes geese,Aves
Miniopterus africanus,Mammalia
Miniopterus natalensis,Mammalia
Meriones unguiculatus,Mammalia
Crow,
home mice,Mammalia
Spilopelia senegalensis,Aves
Spatula clypeata,Aves
Myotis fimbriatus,Mammalia
Leersia hexandra,Magnoliopsida
Mus musculus; IFNAR KO,
Calliope calliope,Aves
Cyanopica cyanus,Aves
Phylloscopus inornatus,Aves
Periparus ater,Aves
Prunella montanella,Aves
domestic cat; sex: male,
Turdus philomelos,Aves
chimpanzee,Mammalia
Petroica macrocephala,Aves
Zosterops lateralis,Aves
Paradoxurus hermaphroditus,Mammalia
Paguma larvata,Mammalia
Chicken,Aves
domestic pig,Mammalia
Myodes,Mammalia
Coypu,Mammalia
Gobiomorphus cotidianus,Actinopteri
Hoary bamboo rat,Mammalia
Porcupine,
rabbit,Mammalia
