host,cellular root,domain,clade,kingdom,phylum,subphylum,superclass,class,superorder,order,suborder,family,genus,species,subspecies,infraorder,parvorder,superfamily,subfamily,infraclass,species group,subclass,cohort,tribe,subgenus,subtribe,subcohort
Canis lupus familiaris,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Caniformia,Canidae,Canis,Canis lupus,Canis lupus familiaris,,,,,,,,,,,,
chicken (broiler),,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Primates,Haplorrhini,Hominidae,Homo,Homo sapiens,,Simiiformes,Catarrhini,Hominoidea,Homininae,,,,,,,,
Trichosurus vulpecula,cellular organisms,Eukaryota,Metatheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,,Diprotodontia,,Phalangeridae,Trichosurus,Trichosurus vulpecula,,,,,,,,,,,,,
goose,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Anseriformes,,Anatidae,Anser,Anser sp.,,,,,Anserinae,Neognathae,,,,,,,
Rhinolophus sinicus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,,,,Rhinolophoidea,Rhinolophinae,,,,,,,,
Rhinolophus affinis,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophidae,Rhinolophus,Rhinolophus affinis,,,,Rhinolophoidea,Rhinolophinae,,,,,,,,
Rhinolophus ferrumequinum,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,,,,Rhinolophoidea,Rhinolophinae,,,,,,,,
Myotis sp.,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis sp.,,,,,,,,,,,,,
Miniopterus schreibersii,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Miniopteridae,Miniopterus,Miniopterus schreibersii,,,,,,,,,,,,,
Chiroptera sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros sp.,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Hipposideridae,Hipposideros,Hipposideros sp.,,,,Rhinolophoidea,,,,,,,,,
Rhinolophus pusillus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,,,,Rhinolophoidea,Rhinolophinae,,,,,,,,
Taphozous sp.,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Emballonuridae,Taphozous,Taphozous sp.,,,,,Taphozoinae,,,,,,,,
Myotis chinensis,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis chinensis,,,,,,,,,,,,,
Myotis laniger,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis laniger,,,,,,,,,,,,,
Rousettus leschenaultii,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Pteropodidae,Rousettus,Rousettus leschenaultii,,,,Pteropodoidea,Rousettinae,,,,,,,,
Myotis adversus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis adversus,,,,,,,,,,,,,
Myotis siligorensis,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis siligorensis,,,,,,,,,,,,,
Hipposideros pomona,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Hipposideridae,Hipposideros,Hipposideros pomona,,,,Rhinolophoidea,,,,,,,,,
Taphozous melanopogon,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Emballonuridae,Taphozous,Taphozous melanopogon,,,,,Taphozoinae,,,,,,,,
Miniopterus pusillus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Miniopteridae,Miniopterus,Miniopterus pusillus,,,,,,,,,,,,,
Myotis pilosus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis pilosus,,,,,,,,,,,,,
fish,cellular organisms,Eukaryota,Euteleostomi,Metazoa,Chordata,Craniata,Actinopterygii,,,,,,,,,,,,,,,,,,,,
Hipposideros larvatus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yinpterochiroptera,Hipposideridae,Hipposideros,Hipposideros larvatus,,,,Rhinolophoidea,,,Hipposideros larvatus sensu lato,,,,,,
Scotophilus kuhlii,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Scotophilus,Scotophilus kuhlii,,,,,,,,,,,,,
Tylonycteris pachypus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Tylonycteris,Tylonycteris pachypus,,,,,,,,,,,,,
Gallus gallus gallus,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Galliformes,,Phasianidae,Gallus,Gallus gallus,Gallus gallus gallus,,,,Phasianinae,Neognathae,,,,,,,
pigeon,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Suina,Suidae,Sus,Sus scrofa,,,,,,,,,,,,,
Chroicocephalus ridibundus,cellular organisms,Eukaryota,Neoaves,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Charadriiformes,,Laridae,Chroicocephalus,Chroicocephalus ridibundus,,,,,,Neognathae,,,,,,,
Leopardus guttulus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Feliformia,Felidae,Leopardus,Leopardus guttulus,,,,,Felinae,,,,,,,,
rat,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Muridae,Rattus,Rattus norvegicus,,,,,Murinae,,,,,,,,
Gyps himalayensis,cellular organisms,Eukaryota,Accipitrimorphae,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Accipitriformes,,Accipitridae,Gyps,Gyps himalayensis,,,,,Accipitrinae,Neognathae,,,,,,,
Anser anser,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Anseriformes,,Anatidae,Anser,Anser anser,,,,,Anserinae,Neognathae,,,,,,,
Neodon fuscus,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Cricetidae,Neodon,Neodon fuscus,,,,,Arvicolinae,,,,,,,,
Pseudois nayaur,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Pseudois,Pseudois nayaur,,Pecora,,,Caprinae,,,,,,,,
Urocricetus kamensis,cellular organisms,Eukaryota,Muroidea,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Myomorpha,Cricetidae,Urocricetus,Urocricetus kamensis,,,,,Cricetinae,,,,,,,,
sheep,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Ovis,Ovis aries,,Pecora,,,Caprinae,,,,,,,,
Bactrian camel,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,Camelus,Camelus bactrianus,,,,,,,,,,,,,
Vulpes vulpes (fox),,,,,,,,,,,,,,,,,,,,,,,,,,,
Su. murinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
goat; Mixed breed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myotis ciliolabrum,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Chiroptera,Yangochiroptera,Vespertilionidae,Myotis,Myotis ciliolabrum,,,,,,,,,,,,,
Leucogeranus leucogeranus,cellular organisms,Eukaryota,Neoaves,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,,Gruiformes,,Gruidae,Leucogeranus,Leucogeranus leucogeranus,,,,,,Neognathae,,,,,,,
Anser sp.,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Anseriformes,,Anatidae,Anser,Anser sp.,,,,,Anserinae,Neognathae,,,,,,,
Capra hircus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Capra,Capra hircus,,Pecora,,,Caprinae,,,,,,,,
Suncus murinus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Suncus,Suncus murinus,,,,,Crocidurinae,,,,,,,,
Crocidura dracula,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Crocidura,Crocidura dracula,,,,,Crocidurinae,,,,,,,,
Anourosorex squamipes,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Anourosorex,Anourosorex squamipes,,,,,Soricinae,,,,,,,,
Episoriculus caudatus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Episoriculus,Episoriculus caudatus,,,,,Soricinae,,,,,,,,
Crocidura suaveolens,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Crocidura,Crocidura suaveolens,,,,,Crocidurinae,,,,,,,,
Uropsilus gracilis,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Talpidae,Uropsilus,Uropsilus gracilis,,,,,,,,,,,,,
Crocidura attenuata,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Eulipotyphla,,Soricidae,Crocidura,Crocidura attenuata,,,,,Crocidurinae,,,,,,,,
Gallus gallus,cellular organisms,Eukaryota,Coelurosauria,Metazoa,Chordata,Craniata,Sarcopterygii,Aves,Galloanserae,Galliformes,,Phasianidae,Gallus,Gallus gallus,,,,,Phasianinae,Neognathae,,,,,,,
cat,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Carnivora,Feliformia,Felidae,Felis,Felis catus,,,,,Felinae,,,,,,,,
Dicentrarchus labrax,cellular organisms,Eukaryota,Eupercaria,Metazoa,Chordata,Craniata,Actinopterygii,Actinopteri,,,,Moronidae,Dicentrarchus,Dicentrarchus labrax,,,,,,Teleostei,,Neopterygii,Euteleosteomorpha,,,,
Sus scrofa domesticus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Suina,Suidae,Sus,Sus scrofa,Sus scrofa domesticus,,,,,,,,,,,,
Sus scrofa (wild boar),cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Suina,Suidae,Sus,Sus scrofa,,,,,,,,,,,,,
Bos taurus,cellular organisms,Eukaryota,Boreoeutheria,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Laurasiatheria,Artiodactyla,Ruminantia,Bovidae,Bos,Bos taurus,,Pecora,,,Bovinae,,,,,,,,
Marmota sibirica,cellular organisms,Eukaryota,Glires,Metazoa,Chordata,Craniata,Sarcopterygii,Mammalia,Euarchontoglires,Rodentia,Sciuromorpha,Sciuridae,Marmota,Marmota sibirica,,,,,Xerinae,,,,,Marmotini,,,
Botrylloides leachii,cellular organisms,Eukaryota,Deuterostomia,Metazoa,Chordata,Tunicata,,Ascidiacea,,Stolidobranchia,,Styelidae,Botrylloides,Botrylloides leachii,,,,,,,,,,,,,
Cebus cuscinus,,,,,,,,,,,,,,,,,,,,,,,,,,,
