Host;Isolate;class
Anas clypeata;"MPJ0552; MPJ0554; MPJ0597; MPJ1300; MPJ1355; MPJ1484";Aves
Apodemus flavicollis (yellow necked mouse);;Mammalia
Ardeola sp.;"KH08-1279; KH08-1285; KH08-1314";Aves
Bat;"16715_30; 16715_78; 17819_21";Mammalia
Blenniella sp.;F19;Mammalia
Bos taurus breed Hanwoo;"12151; 18707; 53954; 71346; 73961; 86599; NA4475";Mammalia
Bos taurus breed Marchigiana;;Mammalia
Canine lupus familaris;DF-BC15-CAV-AUS-2017;Mammalia
Canis lupus familaris;DD1;Mammalia
Canis lupus familiaris;"KU_CaAstV_15; KU_CaAstV_65; KU_CaAstV_79";Mammalia
Capreolus capreolus (roe deer);Mastv/roedeer/32/IT;Mammalia
Cebus cuscinus;S9_k141_10240_rc;Mammalia
Chaerephon leucogaster;AMB-A053;Mammalia
Chiroptera sp.;"Pool-073; Pool-313";Mammalia
Crossorhombus sp.;;Actinopteri
Crow;;Aves
Culex sp. (mosquito);;Insecta
Eidolon helvum (bat);"HV-031; HV-277; HV-282; HV-283; HV-295; HV-35; HV-43";Mammalia
Eptesicus pachyomus;"233668(Anhui); 233669(Anhui)";Mammalia
Feral pigeon;;Aves
Gallus gallus (broiler);;Aves
Gallus gallus domesticus (broiler);"ANV/PB1-HI5/Switzerland/2019; ANV/PB11-HI6/Switzerland/2019; ANV/PB15-HI11/Switzerland/2019; ANV/PB21-SI5/Switzerland/2019; ANV/PB23-SI7/Switzerland/2019; ANV/PB31-SI19/Switzerland/2019; ANV/PB5-HI5/Switzerland/2019; ANV/PB55-SI14/Switzerland/2019; ANV/PB7-HI6/Switzerland/2019; CAstV/PB1-HI5/Switzerland/2019; CAstV/PB15-HI11/Switzerland/2019; CAstV/PB23-SI7/Switzerland/2019; CAstV/PB29-SI22/Switzerland/2019; CAstV/PB33-SI20/Switzerland/2019; CAstV/PB41-SI14/Switzerland/2019; CAstV/PB5-HI5/Switzerland/2019; CAstV/PB55-SI14/Switzerland/2019; CAstV/PB7-HI6/Switzerland/2019; Chicken/NLD/2019/V_M_015_astro_2; Chicken/NLD/2019/V_M_030_astro_12; Chicken/NLD/2019/V_M_033_astro_3; Chicken/NLD/2019/V_M_034_astro_2; Chicken/NLD/2019/V_M_036_astro_4; Chicken/NLD/2019/V_M_038_astro_4; Chicken/NLD/2019/V_M_038_astro_5; Chicken/NLD/2019/V_M_038_astro_6; Chicken/NLD/2019/V_M_039_astro_2; Chicken/NLD/2019/V_M_039_astro_3; Chicken/NLD/2019/V_M_040_astro_2; Chicken/NLD/2019/V_M_041_astro_13; Chicken/NLD/2019/V_M_046_astro_12; Chicken/NLD/2019/V_M_047_astro_4; Chicken/NLD/2019/V_M_048_astro_2; Chicken/NLD/2019/V_M_053_astro_2; Environment/NLD/2019/VE_7_astro_14";Aves
Hipposideros sp. (bat);"CHI-1036; CHI-1048; CHI-1068; CHI-1122; CHI-1150; CHI-1161; CHI-1213; CHI-1216; CHI-1221; CHI-1225; CHI-1235; CHI-1251; CHI-1268; CHI-1275; CHI-1437; CHI-1454; MAB-021a; MAB-021b; MAB-023c; MAB-033a; MAB-034a; MAB-035a; MAB-037; MAB-038a; MAB-038c; MAB-O25b; MAG-036; MAG-036a; MAG-036b; MAG-1014; MAG-1022; MAG-1039; MAG-1054; MAG-1071; MAG-1073; MAG-1119; MAG-1124; MAG-1136; MAG-1159; MAG-1177; MAG-1179; MAG-1180; MAG-1183; MAG-1201; MAG-1202; MAG-1215; MAG-1236; MAG-1267; MAG-1271; MAG-1277; MAG-1286; MAG-1287; MAG-1292; MAG-1317; MAG-247; MAG-251; MAG-281; MAG-292; MAG-563; MAG-608; MAG-610; MAG-621; MAG-622; MAG-629; MAG-637; MAG-653; MAG-666; MAG-700; MAG-706; MAG-714; MAG-823; MAG-845; MAG-849; MAG-857; MAG-861; MAG-864; MAG-938; MAG-940; MAG-943; MAG-957; MAG-960; MAG-967; MAG-977; MAG-980; MAG-987; MAG-992; MAG-996";Mammalia
