,Host
PV418556,Canis lupus familiaris
PV418555,Canis lupus familiaris
PV418548,Canis lupus familiaris
PV418547,Canis lupus familiaris
PV418557,Canis lupus familiaris
PV418554,Canis lupus familiaris
PV418553,Canis lupus familiaris
PV418552,Canis lupus familiaris
PV418551,Canis lupus familiaris
PV418550,Canis lupus familiaris
PV418549,Canis lupus familiaris
PV418546,Canis lupus familiaris
PV418545,Canis lupus familiaris
PX395426,chicken (broiler)
PX395425,chicken (broiler)
PX395424,chicken (broiler)
PX395423,chicken (broiler)
PX395422,chicken (broiler)
PX395421,chicken (broiler)
PX395420,chicken (broiler)
PX395419,chicken (broiler)
PX395418,chicken (broiler)
PX395417,chicken (broiler)
PX395416,chicken (broiler)
PX395415,chicken (broiler)
PX378139,Homo sapiens
PX378138,Homo sapiens
PX378137,Homo sapiens
PX378136,Homo sapiens
PX378135,Homo sapiens
PX378134,Homo sapiens
PX378133,Homo sapiens
PX378132,Homo sapiens
PX378131,Homo sapiens
PV211181,Homo sapiens
PV211180,Homo sapiens
PV211179,Homo sapiens
PV211178,Homo sapiens
PV211177,Homo sapiens
PV211176,Homo sapiens
PX236818,Trichosurus vulpecula
PX236817,Trichosurus vulpecula
PX255451,Homo sapiens
PX255450,Homo sapiens
PX255449,Homo sapiens
PX255448,Homo sapiens
PX255447,Homo sapiens
PX255446,Homo sapiens
PX289198,goose
PX289197,goose
PX289196,goose
OR951098,Rhinolophus sinicus
OR951097,Rhinolophus sinicus
OR951096,Rhinolophus affinis
OR951095,Rhinolophus affinis
OR951094,Rhinolophus affinis
OR951093,Rhinolophus affinis
OR951092,Rhinolophus affinis
OR951091,Rhinolophus ferrumequinum
OR951090,Myotis sp.
OR951089,Miniopterus schreibersii
OR951088,Miniopterus schreibersii
OR951087,Miniopterus schreibersii
OR951086,Miniopterus schreibersii
OR951085,Miniopterus schreibersii
OR951084,Miniopterus schreibersii
OR951083,Miniopterus schreibersii
OR951082,Chiroptera sp.
OR951081,Hipposideros sp.
OR951080,Rhinolophus sinicus
OR951079,Rhinolophus ferrumequinum
OR951078,Rhinolophus pusillus
OR951077,Taphozous sp.
OR951076,Taphozous sp.
OR951075,Taphozous sp.
OR951074,Myotis chinensis
OR951073,Myotis chinensis
OR951072,Myotis chinensis
OR951071,Myotis laniger
OR951070,Miniopterus schreibersii
OR951069,Rousettus leschenaultii
OR951068,Rousettus leschenaultii
OR951067,Myotis adversus
OR951066,Myotis siligorensis
OR951065,Hipposideros pomona
OR951064,Taphozous melanopogon
OR951063,Taphozous melanopogon
OR951062,Taphozous melanopogon
OR951061,Taphozous melanopogon
OR951060,Taphozous melanopogon
OR951059,Miniopterus pusillus
OR951058,Miniopterus pusillus
OR951057,Miniopterus pusillus
OR951056,Myotis pilosus
OR951055,Myotis pilosus
OR951054,Myotis pilosus
OR951053,fish
OR951052,fish
OR951051,Myotis pilosus
OR951050,Myotis pilosus
OR951049,Myotis pilosus
OR951048,Myotis pilosus
OR951047,Myotis pilosus
OR951046,Myotis pilosus
OR951045,Myotis pilosus
OR951044,Myotis pilosus
OR951043,Hipposideros larvatus
OR951042,Hipposideros larvatus
OR951041,Hipposideros larvatus
OR951040,Hipposideros larvatus
OR951039,Hipposideros larvatus
OR951038,Hipposideros larvatus
OR951037,Hipposideros larvatus
OR951036,Hipposideros larvatus
OR951035,Hipposideros larvatus
OR951034,Hipposideros larvatus
OR951033,Hipposideros larvatus
OR951032,Hipposideros larvatus
OR951031,Hipposideros larvatus
OR951030,Hipposideros larvatus
OR951029,Hipposideros larvatus
OR951028,Hipposideros larvatus
OR951027,Scotophilus kuhlii
OR951026,Scotophilus kuhlii
OR951025,Scotophilus kuhlii
OR951024,Scotophilus kuhlii
OR951023,Tylonycteris pachypus
OR951022,Tylonycteris pachypus
OR951021,Tylonycteris pachypus
OR951020,Rhinolophus affinis
OR951019,Rhinolophus affinis
OR951018,Rhinolophus sinicus
OR951017,Chiroptera sp.
OR951016,Myotis chinensis
OR951015,Rhinolophus affinis
OR951014,Rhinolophus affinis
OR951013,Rhinolophus affinis
OR951012,Hipposideros pomona
OR951011,Scotophilus kuhlii
OR951010,Scotophilus kuhlii
OR951009,Miniopterus schreibersii
OR951008,Myotis chinensis
OR951007,Myotis chinensis
PX280286,Gallus gallus gallus
PX237220,pigeon
PX237222,pigeon
PX237221,pigeon
PX148103,pig
PX132666,pig
PX132665,pig
PX132664,pig
PP239060,Chroicocephalus ridibundus
PX171445,Leopardus guttulus
MW826416,rat
PX146716,Gallus gallus gallus
PX095946,Gyps himalayensis
PX095874,Anser anser
PX095873,Anser anser
PX095817,Anser anser
PX095816,Neodon fuscus
PX095815,Neodon fuscus
PX095814,Neodon fuscus
PX095800,Pseudois nayaur
PX095793,Urocricetus kamensis
PX095754,Pseudois nayaur
PX095750,Neodon fuscus
PX095749,Neodon fuscus
PX095698,Anser anser
PX095697,Anser anser
PX095696,Anser anser
PX095695,Anser anser
PV975263,sheep
PV975262,sheep
PX113257,Bactrian camel
PX113256,Bactrian camel
PX113255,Bactrian camel
PX113254,Bactrian camel
PX113253,Bactrian camel
PX113252,Bactrian camel
PX113251,Bactrian camel
PV067282,Homo sapiens
PV999259,Vulpes vulpes (fox)
PV999258,Vulpes vulpes (fox)
PV999257,Vulpes vulpes (fox)
PV999256,Vulpes vulpes (fox)
PV999255,Vulpes vulpes (fox)
PV979748,Su. murinus
PV979747,Su. murinus
PV987765,sheep
PP980351,Canis lupus familiaris
PP980350,Canis lupus familiaris
PP980349,Canis lupus familiaris
PP980348,Canis lupus familiaris
PP980347,Canis lupus familiaris
PP980346,Canis lupus familiaris
PP980345,Canis lupus familiaris
PP980344,Canis lupus familiaris
PP980343,Canis lupus familiaris
PP980342,Canis lupus familiaris
PP980341,Canis lupus familiaris
PP980340,Canis lupus familiaris
PP980339,Canis lupus familiaris
PV972769,goat; Mixed breed
PV972768,goat; Mixed breed
PV972767,goat; Mixed breed
PV972766,goat; Mixed breed
PV972765,goat; Mixed breed
PV972764,goat; Mixed breed
PV972763,goat; Mixed breed
PV972762,goat; Mixed breed
PV983331,Myotis ciliolabrum
PV793827,Leucogeranus leucogeranus
PV793829,Anser sp.
PV793828,Anser sp.
PV793826,Leucogeranus leucogeranus
PV793833,Anser sp.
PV793832,Anser sp.
PV793831,Anser sp.
PV793830,Anser sp.
PV880246,Capra hircus
PV880245,Capra hircus
PV880244,Capra hircus
PV880243,Capra hircus
PV880242,Capra hircus
PV880241,Capra hircus
PV880240,Capra hircus
PV880239,Capra hircus
PV880238,Capra hircus
PQ421854,Suncus murinus
PQ421853,Suncus murinus
PQ421852,Suncus murinus
PQ421851,Suncus murinus
PQ421850,Crocidura dracula
PQ421849,Anourosorex squamipes
PQ421848,Episoriculus caudatus
PQ421847,Anourosorex squamipes
PQ421846,Crocidura suaveolens
PQ421845,Uropsilus gracilis
PQ421844,Crocidura attenuata
PQ421843,Crocidura attenuata
PQ421842,Crocidura attenuata
PQ421841,Crocidura dracula
PP942995,Gallus gallus
PP942994,Gallus gallus
PV853945,Capra hircus
PV847578,cat
PV843273,NA
PV838126,Homo sapiens
PV838125,Homo sapiens
PV838124,Homo sapiens
PV838123,Homo sapiens
PV838122,Homo sapiens
PV838121,Homo sapiens
PV838120,Homo sapiens
PV838119,Homo sapiens
PV838118,Homo sapiens
PV838117,Homo sapiens
PV838116,Homo sapiens
PV838115,Homo sapiens
PV838114,Homo sapiens
PV838113,Homo sapiens
PV838112,Homo sapiens
PV838111,Homo sapiens
PV838110,Homo sapiens
PV838109,Homo sapiens
PV838108,Homo sapiens
PV838107,Homo sapiens
PV838106,Homo sapiens
PV838105,Homo sapiens
PV838104,Homo sapiens
PV838103,Homo sapiens
PV838102,Homo sapiens
PV838101,Homo sapiens
PV838100,Homo sapiens
PV838099,Homo sapiens
PV838098,Homo sapiens
PV838097,Homo sapiens
PV838096,Homo sapiens
PV838095,Homo sapiens
PV838094,Homo sapiens
PV838093,Homo sapiens
PV791158,Homo sapiens
PV780444,goose
PV780443,goose
PV780442,goose
PV780441,goose
PV780440,goose
PV780439,goose
PV780438,goose
PV780437,Anser anser
PV780436,Anser anser
PV780435,Anser anser
PV780434,Anser anser
OP556335,Dicentrarchus labrax
PP872139,Sus scrofa domesticus
PP872138,Sus scrofa domesticus
PP872137,Sus scrofa domesticus
PP872136,Sus scrofa domesticus
PP872135,Sus scrofa domesticus
PP872134,Sus scrofa domesticus
PP872133,Sus scrofa domesticus
PP872132,Sus scrofa domesticus
PP872131,Sus scrofa domesticus
PP872130,Sus scrofa domesticus
PP872129,Canis lupus familiaris
PP872128,Sus scrofa domesticus
PP872127,Sus scrofa domesticus
PP872126,Sus scrofa domesticus
PP872125,Sus scrofa domesticus
PP872124,Sus scrofa domesticus
PP872123,Sus scrofa domesticus
PP872122,Sus scrofa domesticus
PP872121,Sus scrofa domesticus
PP872120,Sus scrofa domesticus
PP872119,Sus scrofa domesticus
PP872118,Sus scrofa domesticus
PP872117,Gallus gallus
PP872116,Sus scrofa domesticus
PP872115,Sus scrofa domesticus
PP872114,Sus scrofa domesticus
PP872113,Sus scrofa domesticus
PP872112,Sus scrofa domesticus
PP872111,Sus scrofa domesticus
PP872110,Sus scrofa domesticus
PP872109,Sus scrofa domesticus
PP872108,Canis lupus familiaris
PP872107,Sus scrofa domesticus
PP872106,Sus scrofa domesticus
PP872105,Sus scrofa domesticus
PP872104,Sus scrofa domesticus
PP872103,Sus scrofa (wild boar)
PP872102,Sus scrofa domesticus
PP872101,Sus scrofa domesticus
PP872100,Sus scrofa domesticus
PP872099,Sus scrofa domesticus
PP872098,Sus scrofa domesticus
PP872097,Sus scrofa domesticus
PP872096,Sus scrofa domesticus
PP872095,Sus scrofa domesticus
PP872094,Sus scrofa domesticus
PP872093,Sus scrofa domesticus
PP872092,Sus scrofa domesticus
PP872091,Sus scrofa domesticus
PP872090,Sus scrofa domesticus
PP872089,Canis lupus familiaris
PP872088,Sus scrofa domesticus
PP872087,Sus scrofa domesticus
PP872086,Sus scrofa domesticus
PP872085,Sus scrofa domesticus
PP872084,Sus scrofa domesticus
PP872083,Sus scrofa domesticus
PP872082,Sus scrofa domesticus
PP872081,Sus scrofa (wild boar)
PP872080,Sus scrofa domesticus
PP872079,Sus scrofa domesticus
PP872078,Sus scrofa domesticus
PP872077,Sus scrofa domesticus
PP872076,Sus scrofa domesticus
PP872075,Sus scrofa domesticus
PP872074,Sus scrofa domesticus
PP872073,Sus scrofa domesticus
PP872072,Sus scrofa domesticus
PP872071,Sus scrofa domesticus
PP872070,Sus scrofa domesticus
PP872069,Sus scrofa domesticus
PP872068,Sus scrofa domesticus
PP872067,Sus scrofa domesticus
PP872066,Sus scrofa domesticus
PP872065,Sus scrofa domesticus
PP872064,Sus scrofa domesticus
PP872063,Gallus gallus
PP872062,Sus scrofa domesticus
PP872061,Sus scrofa domesticus
PP872060,Sus scrofa domesticus
PP872059,Sus scrofa (wild boar)
PP872058,Sus scrofa domesticus
PP872057,Sus scrofa (wild boar)
PP872056,Sus scrofa (wild boar)
PP872055,Sus scrofa domesticus
PP872054,Sus scrofa domesticus
PP872053,Sus scrofa domesticus
PP872052,Sus scrofa domesticus
PP872051,Sus scrofa domesticus
PP872050,Sus scrofa domesticus
PP872049,Sus scrofa domesticus
PP872048,Sus scrofa domesticus
PP872047,Sus scrofa domesticus
PP872046,Sus scrofa domesticus
PP872045,Sus scrofa domesticus
PP872044,Sus scrofa domesticus
PP872043,Sus scrofa domesticus
PP872042,Sus scrofa domesticus
PP872041,Sus scrofa (wild boar)
PP872040,Sus scrofa domesticus
PP872039,Sus scrofa domesticus
PP872038,Sus scrofa domesticus
PP872037,Sus scrofa domesticus
PP872036,Sus scrofa domesticus
PP872035,Sus scrofa domesticus
PP872034,Sus scrofa domesticus
PP872033,Sus scrofa domesticus
PP872032,Sus scrofa domesticus
PP872031,Sus scrofa domesticus
PP872030,Sus scrofa domesticus
PP872029,Sus scrofa domesticus
PP872028,Sus scrofa domesticus
PP872027,Sus scrofa domesticus
PP872026,Sus scrofa domesticus
PP872025,Sus scrofa domesticus
PP872024,Sus scrofa domesticus
PP872023,Sus scrofa domesticus
PP872022,Sus scrofa domesticus
PP872021,Gallus gallus
PP872020,Sus scrofa domesticus
PP872019,Sus scrofa domesticus
PP872018,Sus scrofa domesticus
PP872017,Sus scrofa domesticus
PP872016,Sus scrofa domesticus
PP872015,Sus scrofa domesticus
PP872014,Sus scrofa (wild boar)
PP872013,Sus scrofa domesticus
PP872012,Sus scrofa domesticus
PP872011,Sus scrofa (wild boar)
PP872010,Sus scrofa domesticus
PP872009,Sus scrofa domesticus
PP872008,Sus scrofa domesticus
PP872007,Sus scrofa domesticus
PP872006,Sus scrofa domesticus
PP872005,Sus scrofa domesticus
PP872004,Sus scrofa (wild boar)
PP872003,Sus scrofa domesticus
PP872002,Sus scrofa domesticus
PP872001,Sus scrofa domesticus
PP872000,Sus scrofa domesticus
PP871999,Sus scrofa domesticus
PP871998,Gallus gallus
PP871997,Sus scrofa (wild boar)
PP871996,Sus scrofa domesticus
PP871995,Sus scrofa domesticus
PP871994,Sus scrofa domesticus
PP871993,Sus scrofa (wild boar)
PP871992,Sus scrofa domesticus
PP871991,Sus scrofa (wild boar)
PP871990,Sus scrofa domesticus
PP871989,Sus scrofa domesticus
PP871988,Sus scrofa domesticus
PP871987,Sus scrofa domesticus
PP871986,Sus scrofa domesticus
PP871985,Sus scrofa domesticus
PP871984,Sus scrofa domesticus
PP871983,Sus scrofa domesticus
PP871982,Sus scrofa domesticus
PP871981,Sus scrofa domesticus
PP871980,Sus scrofa domesticus
PP871979,Canis lupus familiaris
PP871978,Sus scrofa domesticus
PP871977,Sus scrofa domesticus
PP871976,Sus scrofa domesticus
PP871975,Sus scrofa domesticus
PP871974,Sus scrofa domesticus
PP871973,Sus scrofa domesticus
PP871972,Sus scrofa (wild boar)
PP871971,Sus scrofa domesticus
PP871970,Sus scrofa domesticus
PP871969,Sus scrofa (wild boar)
PP871968,Sus scrofa (wild boar)
PP871967,Sus scrofa domesticus
PP871966,Sus scrofa domesticus
PP871965,Sus scrofa (wild boar)
PP871964,Sus scrofa domesticus
PP871963,Sus scrofa domesticus
PP871962,Sus scrofa domesticus
PP871961,Sus scrofa domesticus
PP871960,Sus scrofa domesticus
PP871959,Sus scrofa domesticus
PP871958,Sus scrofa domesticus
PP871957,Sus scrofa domesticus
PP871956,Sus scrofa domesticus
PP871955,Sus scrofa domesticus
