Host;Group
50-day-old Landes geese;Anser
Alisterus scapularis;Alisterus
Anser anser;Anser
Anser indicus (Bar-headed goose);Anser
Anser sp.;Anser
Arenaria interpres (ruddy turnstone);Arenaria
Beijing duck;Duck
Canis lupus familiaris;Canis
Crow;Corvus
Cynops orientalis;Cynops
Duck;Anas
Duttaphrynus melanostictus;Duttaphrynus
Eolophus roseicapilla;Eolophus
Gallus gallus;Gallus
Gallus gallus (broiler);Gallus
Gallus gallus broiler chicken;Gallus
Gallus gallus domesticus (broiler);Gallus
Gekko similignum;Gekko
Goose;Anser
Hemidactylus bowringii;Hemidactylus
Heteronotia planiceps;Heteronotia
Hortobagy goose;Anser
Jiangnan White Goose;Anser
Jinding ducks;Anas
Lande geese;Anser
Leucogeranus leucogeranus;Leucogeranus
Lingxian White Goose;Anser
Mareca falcata;Mareca
Muscovy duck;Cairina
Muscovy-duck;Cairina
Neogale vison;Neogale
Passeriformes;Passer
Pekin duck;Anas
Pelophylax nigromaculatus;Pelophylax
Phrynocephalus erythrurus;Phrynocephalus
Polypedates megacephalus;Polypedates
Red-necked Avocet;Recurvirostra
Sus scrofa (wild boar);Sus
bird;bird
carrier pigeon;Columba
chicken;Gallus
duck;Anas
feral pigeon;Columba
goose;Anser
goose embryo;Anser
gosling;Anser
goslings;Anser
house crow;Corvus
landaise;Anser
laying hens;Gallus
pigeon;Columba
spotted dove;Streptopelia
turkey;Meleagris
