Host;Host_species;Host_genus;Host_fam;Host_fam_ru
50-day-old Landes geese;Lande geese;Anser;Anatidae;Anatidae (утиные)
Alisterus scapularis;Alisterus scapularis;Alisterus;Psittacidae;Psittacidae (попугаевые)
Anser anser;Anser anser;Anser;Anatidae;Anatidae (утиные)
Anser indicus (Bar-headed goose);Anser indicus (Bar-headed goose);Anser;Anatidae;Anatidae (утиные)
Anser sp.;Anser sp.;Anser;Anatidae;Anatidae (утиные)
Arenaria interpres (ruddy turnstone);Arenaria interpres (ruddy turnstone);Arenaria;Scolopacidae;Scolopacidae (бекасовые)
Beijing duck;Beijing duck;Duck;Anatidae;Anatidae (утиные)
Canis lupus familiaris;Canis lupus familiaris;Canis;Canidae;Canidae (псовые)
Crow;Crow;Corvus;Corvidae;Corvidae (врановые)
Cygnus olor;Cygnus olor;Cygnus;Anatidae;Anatidae (утиные)
Cynops orientalis;Cynops orientalis;Cynops;Salamandridae;Salamandridae (саламандровые)
Duck;Duck;Anas;Anatidae;Anatidae (утиные)
Duttaphrynus melanostictus;Duttaphrynus melanostictus;Duttaphrynus;Bufonidae;Bufonidae (жабовые)
Eolophus roseicapilla;Eolophus roseicapilla;Eolophus;Cacatuidae;Cacatuidae (какаду)
Gallus gallus;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые)
Gallus gallus (broiler);Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые)
Gallus gallus broiler chicken;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые)
Gallus gallus domesticus (broiler);Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые)
Gekko similignum;Gekko similignum;Gekko;Gekkonidae;Gekkonidae (гекконовые)
Gerygone igata;Gerygone igata;Gerygone;Acanthizidae;Acanthizidae (шипоклювковые)
Goose;Goose;Anser;Anatidae;Anatidae (утиные)
Hemidactylus bowringii;Hemidactylus bowringii;Hemidactylus;Gekkonidae;Gekkonidae (гекконовые)
Heteronotia planiceps;Heteronotia planiceps;Heteronotia;Gekkonidae;Gekkonidae (гекконовые)
Hortobagy goose;Hortobagy goose;Anser;Anatidae;Anatidae (утиные)
Jiangnan White Goose;Jiangnan White Goose;Anser;Anatidae;Anatidae (утиные)
Jinding ducks;Jinding ducks;Anas;Anatidae;Anatidae (утиные)
Lande geese;Lande geese;Anser;Anatidae;Anatidae (утиные)
Leucogeranus leucogeranus;Leucogeranus leucogeranus;Leucogeranus;Gruidae;Gruidae (журавлиные)
Lingxian White Goose;Lingxian White Goose;Anser;Anatidae;Anatidae (утиные)
Mareca falcata;Mareca falcata;Mareca;Anatidae;Anatidae (утиные)
Montifringilla taczanowskii;Montifringilla taczanowskii;Montifringilla;Passeridae;Passeridae (воробьиные)
Muscovy duck;Muscovy duck;Cairina;Anatidae;Anatidae (утиные)
Muscovy-duck;Muscovy duck;Cairina;Anatidae;Anatidae (утиные)
Neogale vison;Neogale vison;Neogale;Mustelidae;Mustelidae (куньи)
Passeriformes;Passeriformes;Passer;Passeridae;Passeridae (воробьиные)
Pekin duck;Beijing duck;Anas;Anatidae;Anatidae (утиные)
Pelophylax nigromaculatus;Pelophylax nigromaculatus;Pelophylax;Ranidae;Ranidae (лягушковые)
Periparus ater;Periparus ater;Periparus;Paridae;Paridae (синицевые)
Petroica macrocephala;Petroica macrocephala;Petroica;Petroicidae;Petroicidae (австралийские малиновки)
Phrynocephalus erythrurus;Phrynocephalus erythrurus;Phrynocephalus;Agamidae;Agamidae (агамовые)
Polypedates megacephalus;Polypedates megacephalus;Polypedates;Rhacophoridae;Rhacophoridae (веслоногие лягушки)
Prunella montanella;Prunella montanella;Prunella;Prunellidae;Prunellidae (завирушковые)
Red-necked Avocet;Red-necked Avocet;Recurvirostra;Recurvirostridae;Recurvirostridae (шилоклювковые)
Rhipidura fuliginosa;Rhipidura fuliginosa;Rhipidura;Rhipiduridae;Rhipiduridae (веерохвостковые)
Sus scrofa (wild boar);Sus scrofa (wild boar);Sus;Suidae;Suidae (свиные)
bird;bird;bird;;
carrier pigeon;Pigeon;Columba;Columbidae;Columbidae (голубиные)
chicken;Gallus gallus;Gallus;Phasianidae;Phasianidae (фазановые)
duck;Duck;Anas;Anatidae;Anatidae (утиные)
feral pigeon;Feral pigeon;Columba;Columbidae;Columbidae (голубиные)
goose;Goose;Anser;Anatidae;Anatidae (утиные)
goose embryo;Goose;Anser;Anatidae;Anatidae (утиные)
gosling;Gosling;Anser;Anatidae;Anatidae (утиные)
goslings;Gosling;Anser;Anatidae;Anatidae (утиные)
house crow;House crow;Corvus;Corvidae;Corvidae (врановые)
landaise;Landaise;Anser;Anatidae;Anatidae (утиные)
laying hens;Laying hens;Gallus;Phasianidae;Phasianidae (фазановые)
pigeon;Pigeon;Columba;Columbidae;Columbidae (голубиные)
rhesus monkey;Rhesus monkey;Macaca;Cercopithecidae;Cercopithecidae (мартышковые)
spotted dove;Spotted dove;Streptopelia;Columbidae;Columbidae (голубиные)
turkey;turkey;Meleagris;Phasianidae;Phasianidae (фазановые)
