Host;Group
50-day-old Landes geese;Lande geese
Alisterus scapularis;Alisterus scapularis
Anser anser;Anser anser
Anser indicus (Bar-headed goose);Anser indicus (Bar-headed goose)
Anser sp.;Anser sp.
Arenaria interpres (ruddy turnstone);Arenaria interpres (ruddy turnstone)
Beijing duck;Beijing duck
Canis lupus familiaris;Canis lupus familiaris
Crow;Crow
Cynops orientalis;Cynops orientalis
Duck;Duck
Duttaphrynus melanostictus;Duttaphrynus melanostictus
Eolophus roseicapilla;Eolophus roseicapilla
Gallus gallus;Gallus gallus
Gallus gallus (broiler);Gallus gallus
Gallus gallus broiler chicken;Gallus gallus
Gallus gallus domesticus (broiler);Gallus gallus
Gekko similignum;Gekko similignum
Goose;Goose
Hemidactylus bowringii;Hemidactylus bowringii
Heteronotia planiceps;Heteronotia planiceps
Hortobagy goose;Hortobagy goose
Jiangnan White Goose;Jiangnan White Goose
Jinding ducks;Jinding ducks
Lande geese;Lande geese
Leucogeranus leucogeranus;Leucogeranus leucogeranus
Lingxian White Goose;Lingxian White Goose
Mareca falcata;Mareca falcata
Muscovy duck;Muscovy duck
Muscovy-duck;Muscovy duck
Neogale vison;Neogale vison
Passeriformes;Passeriformes
Pekin duck;Beijing duck
Pelophylax nigromaculatus;Pelophylax nigromaculatus
Phrynocephalus erythrurus;Phrynocephalus erythrurus
Polypedates megacephalus;Polypedates megacephalus
Red-necked Avocet;Red-necked Avocet
Sus scrofa (wild boar);Sus scrofa (wild boar)
bird;bird
carrier pigeon;Pigeon
chicken;Gallus gallus
duck;Duck
feral pigeon;Feral pigeon
goose;Goose
goose embryo;Goose
gosling;Gosling
goslings;Gosling
house crow;House crow
landaise;Landaise
laying hens;Laying hens
pigeon;Pigeon
spotted dove;Spotted dove
turkey;turkey
