sequence_nm,id,Geo location,Collection date,Country,Host,Host_species,Host_genus,Host_fam,Host_fam_ru,class,aa83_1B,aa90_1B,nt86_1B,nt80_1B
PX237222/NA/pigeon-FSU1/pigeon/2025,PX237222,China,04-Jul-2025,,pigeon,Pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,60.0,56.0
PV793827/NA/AstroviridaeCranefe81/Leucogeranus-leucogeranus/2024,PV793827,China,Jan-2024,,Leucogeranus leucogeranus,Leucogeranus leucogeranus,Leucogeranus,Gruidae,Gruidae (журавлиные),Aves,37.0,6.0,4.0,4.0
PV793829/NA/AstroviridaeGoosefe94/Anser-sp-/2024,PV793829,China,Jan-2024,,Anser sp.,Anser sp.,Anser,Anatidae,Anatidae (утиные),Aves,39.0,8.0,5.0,5.0
PV793828/NA/AstroviridaeGoosefe87/Anser-sp-/2024,PV793828,China,Jan-2024,,Anser sp.,Anser sp.,Anser,Anatidae,Anatidae (утиные),Aves,38.0,9.0,6.0,6.0
PV793826/NA/AstroviridaeCranefe67/Leucogeranus-leucogeranus/2024,PV793826,China,Jan-2024,,Leucogeranus leucogeranus,Leucogeranus leucogeranus,Leucogeranus,Gruidae,Gruidae (журавлиные),Aves,49.0,11.0,8.0,43.0
PV780437/NA/JX05/Anser-anser/2025,PV780437,China,28-Apr-2025,,Anser anser,Anser anser,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PV780436/NA/JX04/Anser-anser/2023,PV780436,China,27-Jan-2023,,Anser anser,Anser anser,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PV780435/NA/JX03/Anser-anser/2023,PV780435,China,27-Jan-2023,,Anser anser,Anser anser,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PV780434/NA/JX02/Anser-anser/2023,PV780434,China,27-Jan-2023,,Anser anser,Anser anser,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PP871812/NA/astro-vt-94/Canis-lupus-familiaris/2014,PP871812,Viet Nam,21-Dec-2014/02-Apr-2016,,Canis lupus familiaris,Canis lupus familiaris,Canis,Canidae,Canidae (псовые),Mammalia,35.0,3.0,41.0,40.0
PP871808/NA/astro-vt-90/Gallus-gallus/2015,PP871808,Viet Nam,16-Jun-2015/02-Apr-2016,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,39.0,38.0,8.0
PP871804/NA/astro-vt-86/Canis-lupus-familiaris/2014,PP871804,Viet Nam,29-May-2014/16-Mar-2015,,Canis lupus familiaris,Canis lupus familiaris,Canis,Canidae,Canidae (псовые),Mammalia,35.0,3.0,41.0,40.0
PP871798/NA/astro-vt-80/Sus-scrofa-(wild-boar)/2015,PP871798,Viet Nam,09-Apr-2015/14-Apr-2015,,Sus scrofa (wild boar),Sus scrofa (wild boar),Sus,Suidae,Suidae (свиные),Mammalia,20.0,63.0,9.0,8.0
PP871786/NA/astro-vt-68/Gallus-gallus/2014,PP871786,Viet Nam,08-Jul-2014/11-Oct-2016,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
PV600843/NA/HNJZ-2023/goose/2023,PV600843,China: Henan,2023,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PV524668/NA/JXNC1/goose/2025,PV524668,China: Jiangxi,15-Mar-2025,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
PV169360/NA/NA/duck/2024,PV169360,China,2024,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134528/NA/NA/Muscovy-duck/2022,OR134528,China,26-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OR134527/NA/NA/Muscovy-duck/2022,OR134527,China,22-Oct-2022,,Muscovy duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
