GBAC,1B_length,definition
PP172843,9004.0,MAG: Ripikrak virus isolate KCAP1_k141_96123 genomic sequence
MN033872,7207.0,"MAG: Astroviridae sp. isolate H3_Bulk_Litter_17_scaffold_52 RNA-dependent RNA polymerase (H3BulkLitter1752_000001) and hypothetical protein (H3BulkLitter1752_000002) genes, complete cds"
PQ055525,6595.0,MAG: Qianjiang astro-like virus 2 isolate QJ3TG1479 cRNA sequence
PP173657,6559.0,MAG: Ripistuv virus isolate MP3_k141_5253 genomic sequence
PQ055527,6270.0,MAG: Qianjiang astro-like virus 4 isolate QJ3TS1993 cRNA sequence
PQ150499,6024.0,MAG: Solanum melongena bastro-like virus isolate Hebei_128 genomic sequence
MN841288,6024.0,"Solanum melongena bastro-like virus strain pt065-phy-4-plant 65, complete genome"
MN035838,5640.0,MAG: Astroviridae sp. isolate H4_Bulk_47_scaffold_62 sequence
NC_040647,5286.0,"Culex Bastrovirus-like virus strain CAVL/Fresno, complete genome"
MH188020,5286.0,"Culex Bastrovirus-like virus strain CAVL/Fresno, complete genome"
MT585643,4566.0,"Avian nephritis virus isolate VF14-92-A2, complete genome"
MF768270,4542.0,"Avian astrovirus strain pigeon/China/20/2014 non-structural polyprotein and capsid protein precursor, genes, complete cds"
HQ889774,4539.0,"Pigeon avian nephritis virus strain SH10 non-structural polyprotein and structural polyprotein genes, complete cds"
MT585644,4515.0,"Avian nephritis virus isolate VF16-03-164b, partial genome"
OQ802761,4410.0,MAG: Wufeng shrew bastrovirus 2 isolate WF_Ch.smithii_bastro_2 genomic sequence
PP172690,4330.0,MAG: Ripinasc virus isolate KCAP1_k141_334640 genomic sequence
OM451110,4324.0,"MAG: Squirrel astrovirus 2 isolate FJ-MO1, complete genome"
AB308374,4297.0,"Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347"
NC_030922,4297.0,"Mamastrovirus 1 genomic RNA, complete genome, isolate: V1347"
MZ546174,4291.0,"Human astrovirus strain Astzj-8, complete genome"
MW863310,4291.0,"Human astrovirus isolate Hu/HY/2019/CHN nonstructural protein and structural protein genes, complete cds"
FJ375759,4291.0,"Human astrovirus isolate SH1, complete genome"
KC342249,4291.0,"Mamastrovirus 1 isolate km1 nonstructural protein and structural protein genes, complete cds"
AB325804,4276.0,"Mamastrovirus 1 ORF1 gene for nonstructural protein, complete cds, isolate: V1182"
ON807348,4255.0,"Mamastrovirus 1 isolate G22-006 putative RNA-dependent RNA polymerase gene, partial cds; and capsid precursor protein gene, complete cds"
MT568535,4245.0,MAG: Pyongtaek Culex bastrovirus isolate -like virus A18.1505 genomic sequence
MW346737,4245.0,"MAG: Astroviridae sp. isolate 1aq-RDRP-4 nonstructural polyprotein gene, complete cds"
OM451112,4237.0,"MAG: Raccoon dog astrovirus 1 isolate SD-F2, complete genome"
OM451115,4237.0,"MAG: Raccoon dog astrovirus 4 isolate SD-MO1, complete genome"
OM451148,4237.0,"MAG: Raccoon dog astrovirus 1 isolate HeB-MO1 nonstructural protein and capsid protein precursor, genes, complete cds"
OM451111,4237.0,"MAG: Raccoon dog astrovirus 1 isolate SD-F1, complete genome"
MZ443626,4227.0,"Nelson Astrovirus-like 1 isolate Vvul_virus_58 hypothetical protein genes, complete cds"
OR439362,4225.0,"Bat bastrovirus isolate BastroV-HMU-6 nonstructural protein and capsid protein genes, complete cds"
PQ161557,4224.0,"MAG: Bastrovirus Brazil/sewage isolate CS26 hypothetical protein genes, complete cds; and hypothetical protein gene, partial cds"
OR270284,4219.0,MAG: Culex Bastrovirus-like virus isolate OGH01 clone gangh01 genomic sequence
PP871917,4174.0,MAG: Mamastrovirus sp. isolate astro_vt_199 genomic sequence
OM451109,4153.0,"MAG: Squirrel astrovirus 1 isolate GD-MO2 nonstructural protein gene, partial cds; and capsid protein precursor, gene, complete cds"
OM451116,4153.0,"MAG: Civet astrovirus isolate SC-F1 nonstructural protein gene, partial cds; and capsid protein precursor, gene, complete cds"
GU985458,4152.0,"Mink astrovirus isolate SMS-AstV, complete genome"
OM451113,4093.0,"MAG: Raccoon dog astrovirus 2 isolate SD-F3 nonstructural protein gene, complete cds; and capsid protein precursor, gene, partial cds"
OM451114,4090.0,"MAG: Raccoon dog astrovirus 3 isolate SD-F3 nonstructural protein and capsid protein precursor, genes, complete cds"
