ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,Start,End,Source File
PQ055536.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,59,421,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289198.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,567,694,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289198.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,778,871,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PP211222.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,40,422,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421842.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421844.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,587,643,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421842.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421851.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,26,288,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289196.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,485,612,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289196.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,696,789,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289197.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,696,789,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289197.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,485,612,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055539.1|,"Peptidase C3A/C3B, picornaviral",3C cysteine protease (picornain 3C),Pfam,3C-like serine protease motif,1A,273,307,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421853.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421848.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,622,678,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289196.3|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,12,251,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289196.3|,"Capsid polyprotein VP90, C-terminal",C-terminal tail of astrovirus capsid projection or spike,Pfam,An enzyme that catalyzes the replication of RNA from an RNA template,,425,665,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PP211223.1|,(+) RNA virus helicase core domain,Viral superfamily 1 RNA helicase core domain,Pfam,-,1A,245,472,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PP211223.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,574,957,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421852.2|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,312,368,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421843.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055538.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,227,433,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX095754.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,81,360,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421846.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,12,336,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PP211221.1|,(+) RNA virus helicase core domain,Viral superfamily 1 RNA helicase core domain,Pfam,-,1A,8,181,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PP211221.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,278,667,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421848.3|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421844.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055528.1|,"Peptidase C3A/C3B, picornaviral",3C cysteine protease (picornain 3C),Pfam,3C-like serine protease motif,1A,903,932,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421846.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,621,677,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421854.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421852.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,491,703,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421852.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,22,355,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421848.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055533.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,119,491,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055527.1|,"Icosahedral viral capsid protein, S domain",Viral coat protein (S domain),Pfam,Capsid precursor protein,2,1768,1896,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055527.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,1094,1329,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055535.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,121,433,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289198.3|,"Capsid polyprotein VP90, C-terminal",C-terminal tail of astrovirus capsid projection or spike,Pfam,An enzyme that catalyzes the replication of RNA from an RNA template,,425,665,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289198.3|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,12,251,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055539.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,140,394,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289196.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,2,401,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PX289197.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,2,401,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055530.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,79,492,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ055528.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,127,452,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421845.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,621,677,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421843.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,621,677,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421847.4|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,622,678,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421842.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,587,643,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421853.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,622,678,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
PQ421843.3|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam.csv
