ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
PX237222,PX237222.1,"Pigeon astrovirus isolate pigeon/FSU1, complete genome",08-SEP-2025,Pigeon astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6960.0,"Chen,J., Tan,S., Lu,Q. and Wang,X.",,pigeon/FSU1,China,,04-Jul-2025,,pigeon,No,3.0,No,No,86-3098,1.0,3091-4618,1.0,4636-6682,1.0,Aves
PV793827,PV793827.1,"MAG: Astroviridae sp. isolate AstroviridaeCranefe81 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7275.0,"Gao,J. and Ni,B.",,AstroviridaeCranefe81,China,,Jan-2024,Siberian crane feces,Leucogeranus leucogeranus,Yes,0.0,No,No,100-3406,1.0,3390-4938,1.0,4931-7178,1.0,Aves
PV793829,PV793829.1,"MAG: Avastrovirus sp. isolate AstroviridaeGoosefe94 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",16-JUL-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7104.0,"Gao,J. and Ni,B.",,AstroviridaeGoosefe94,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0.0,No,No,42-3228,1.0,3230-4757,1.0,4683-6879,1.0,Aves
PV793828,PV793828.1,"MAG: Avastrovirus sp. isolate AstroviridaeGoosefe87 non-structural polyprotein-like, RNA-dependent RNA polymerase-like, and capsid protein-like genes, complete sequence",16-JUL-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7416.0,"Gao,J. and Ni,B.",,AstroviridaeGoosefe87,China,,Jan-2024,wild geese feces,Anser sp.,Yes,0.0,No,No,142-3511,1.0,3495-5046,1.0,4924-7243,1.0,Aves
PV793826,PV793826.1,"MAG: Astroviridae sp. isolate AstroviridaeCranefe67 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence",16-JUL-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7211.0,"Gao,J. and Ni,B.",,AstroviridaeCranefe67,China,,Jan-2024,Siberian crane feces,Leucogeranus leucogeranus,Yes,0.0,No,No,70-3358,1.0,3342-4896,1.0,4889-7124,1.0,Aves
PV780437,PV780437.1,"Goose astrovirus isolate JX05, complete genome",29-JUN-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7186.0,"Li,H.",,JX05,China,,28-Apr-2025,,Anser anser,No,3.0,No,No,22-3277,1.0,3267-4818,1.0,4836-6951,1.0,Aves
PV780436,PV780436.1,"Goose astrovirus isolate JX04, complete genome",29-JUN-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7179.0,"Li,H.",,JX04,China,,27-Jan-2023,,Anser anser,No,3.0,No,No,15-3270,1.0,3260-4811,1.0,4829-6944,1.0,Aves
PV780435,PV780435.1,"Goose astrovirus isolate JX03, complete genome",29-JUN-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,H.",,JX03,China,,27-Jan-2023,,Anser anser,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
PV780434,PV780434.1,"Goose astrovirus isolate JX02, complete genome",29-JUN-2025,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7217.0,"Li,H.",,JX02,China,,27-Jan-2023,,Anser anser,No,3.0,No,No,53-3308,1.0,3298-4849,1.0,4867-6982,1.0,Aves
PP871812,PP871812.1,MAG: Avastrovirus sp. isolate astro_vt_94 genomic sequence,14-JUN-2025,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7130.0,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.",,astro_vt_94,Viet Nam,,21-Dec-2014/02-Apr-2016,rectal swab,Canis lupus familiaris,Yes,3.0,No,No,0-3381,1.0,3362-4922,1.0,4946-7109,1.0,Mammalia
