ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix
PP512783_33,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_33,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_33,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_33,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_25,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_25,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_25,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_25,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_25,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
OR800315_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,OR800315
OR800315_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,OR800315
OR800315_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,OR800315
OR800315_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,OR800315
PQ110289_11,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ110289
PQ110289_11,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ110289
PQ110289_11,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ110289
PP512783_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
PP512783_32,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PP512783
PP512783_32,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_7,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PP512783
PP512783_7,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,PP512783
PP512783_7,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP512783
OP474168_3,-,consensus disorder prediction,MobiDBLite,-,-,OP474168
PP512783_34,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PP512783
PP512783_34,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PP512783
PP512783_34,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PP512783
MN036159_3,-,consensus disorder prediction,MobiDBLite,-,-,MN036159
