ID белка,Хэш-белка,Длина белка,Источник предсказания,ID домена/мотива,Описание предсказания,Начало,Конец,E-value,Unnamed: 9,Дата,Unnamed: 11,Название семейства/белка,Unnamed: 13,Unnamed: 14
OR951076.n+2,fc347f11abc2e89960712216980ae641,39,Phobius,SIGNAL_PEPTIDE_H_REGION,Hydrophobic region of a signal peptide.,3,12,-,T,02-11-2025,-,-,-,-
OR951076.n+2,fc347f11abc2e89960712216980ae641,39,Phobius,SIGNAL_PEPTIDE,Signal peptide region,1,24,-,T,02-11-2025,-,-,-,-
OR951076.n+2,fc347f11abc2e89960712216980ae641,39,Phobius,SIGNAL_PEPTIDE_N_REGION,N-terminal region of a signal peptide.,1,2,-,T,02-11-2025,-,-,-,-
OR951076.n+2,fc347f11abc2e89960712216980ae641,39,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",25,39,-,T,02-11-2025,-,-,-,-
OR951076.n+2,fc347f11abc2e89960712216980ae641,39,Phobius,SIGNAL_PEPTIDE_C_REGION,C-terminal region of a signal peptide.,13,24,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,280,302,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Coils,Coil,Coil,3,38,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",99,250,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",332,336,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",274,279,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,81,98,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,309,331,-,T,02-11-2025,-,-,-,-
PP512783.n+0,cbd811778de1404176ac1aee8dbe1250,336,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",306,310,-,T,02-11-2025,-,-,-,-
