ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix
PQ055536.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,PQ055536
PQ055536.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ055536
PQ055536.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PQ055536
PQ055536.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ055536
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055530
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055530
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198
PX289198.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289198
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198
PX289198.1|,-,Coil,Coils,-,-,PX289198
PX289198.1|,Zinc finger C2H2-type,Zinc finger C2H2 type domain profile.,ProSiteProfiles,-,-,PX289198
PX289198.1|,-,Coil,Coils,-,-,PX289198
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289198
PX289198.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198
PX289198.1|,-,consensus disorder prediction,MobiDBLite,-,-,PX289198
PX289198.1|,-,consensus disorder prediction,MobiDBLite,-,-,PX289198
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289198
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289198
PX289198.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PX289198
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289198
PX289198.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PX289198
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289198
PX289198.1|,-,Coil,Coils,-,-,PX289198
PX289198.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289198
PP211222.1|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PP211222
PP211222.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,,1B,PP211222
PP211222.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP211222
PQ421842.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ421842
PQ421842.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,PQ421842
PQ421842.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ421842
PQ421842.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PQ421842
PQ421842.2|,-,ps-ssRNAv_Astroviridae_RdRp,CDD,-,-,PQ421842
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ055536
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ055536
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ055536
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ055536
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ055536
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ055536
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ055536
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ055536
PQ055536.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ055536
PQ055536.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PQ055536
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ055536
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ421844
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421844
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421844
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421844
PQ421844.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PQ421844
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421844
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421844
PQ421844.3|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ421844
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421844
PQ421844.3|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PQ421844
PQ421842.1|,-,Positive stranded ssRNA viruses,SUPERFAMILY,,NotSpecific,PQ421842
PQ421842.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ421842
PQ421842.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421842
PQ421842.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421842
PQ421842.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ421842
PQ421842.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ421842
PQ421842.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PQ421842
PQ421842.1|,Viral coat protein subunit,-,Gene3D,-,-,PQ421842
PQ421842.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421842
PQ421851.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ421851
PQ421851.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ421851
PQ055539.3|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055539
PQ055539.3|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055539
PQ055539.3|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055539
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289196
PX289196.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289196
PX289196.1|,Zinc finger C2H2-type,Zinc finger C2H2 type domain profile.,ProSiteProfiles,-,-,PX289196
PX289196.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289196
PX289196.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289196
PX289196.1|,-,Coil,Coils,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289196
PX289196.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PX289196
PX289196.1|,-,Coil,Coils,-,-,PX289196
PX289196.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289196
PX289196.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289196
PX289196.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289196
PX289196.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289196
PX289196.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PX289196
PX289196.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289196
PX289196.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289196
PX289196.1|,-,Coil,Coils,-,-,PX289196
PQ055537.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055537
PQ055537.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055537
PQ055537.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055537
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289197
PX289197.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289197
PX289197.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289197
PX289197.1|,Zinc finger C2H2-type,Zinc finger C2H2 type domain profile.,ProSiteProfiles,-,-,PX289197
PX289197.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289197
PX289197.1|,-,Coil,Coils,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289197
PX289197.1|,-,Coil,Coils,-,-,PX289197
PX289197.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289197
PX289197.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PX289197
PX289197.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289197
PX289197.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289197
PX289197.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289197
PX289197.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PX289197
PX289197.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289197
PX289197.1|,-,Coil,Coils,-,-,PX289197
PX289197.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289197
PQ055539.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055539
PQ055539.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ055539
PQ055539.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PQ055539
PQ055539.1|,"Peptidase C3A/C3B, picornaviral",3C cysteine protease (picornain 3C),Pfam,,Picorna,PQ055539
PQ055539.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055539
PQ421853.1|,-,Positive stranded ssRNA viruses,SUPERFAMILY,,NotSpecific,PQ421853
PQ421853.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PQ421853
PQ421853.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PQ421853
PQ421853.1|,Viral coat protein subunit,-,Gene3D,-,-,PQ421853
PQ421853.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PQ421853
PQ421853.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ421853
PQ421853.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ421853
PQ421853.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421853
PQ421853.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421853
PQ421848.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PQ421848
PQ421848.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,PQ421848
