ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,Start,End,Source File
PQ055536.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,285,409,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,249,374,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,NS,1A,1,25,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,NS,1A,16,25,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,461,483,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,462,484,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,451,461,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,421,450,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Coil,Coils,-,-,742,769,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,Zinc finger C2H2-type,Zinc finger C2H2 type domain profile.,ProSiteProfiles,An enzyme that catalyzes the replication of RNA from an RNA template,,1063,1090,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Coil,Coils,-,-,196,216,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,255,391,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,554,623,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,392,415,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,234,254,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,consensus disorder prediction,MobiDBLite,NS,1A,14,26,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,consensus disorder prediction,MobiDBLite,NS,1A,1,32,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1,233,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,485,1090,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,237,254,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,416,420,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,427,449,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,390,412,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,-,Coil,Coils,-,-,143,180,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PX289198.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,642,713,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PP211222.1|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,211,321,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,178,271,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,134,256,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.2|,-,ps-ssRNAv_Astroviridae_RdRp,CDD,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,57,287,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,352,369,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,352,369,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,5,22,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,77,99,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,25,351,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,6,24,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,114,136,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,370,658,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,582,640,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ055536.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1,5,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,109,188,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1,82,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,189,211,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,317,740,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,244,263,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,270,291,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,189,211,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,212,242,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,83,108,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,270,292,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,264,269,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,87,108,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,243,263,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,292,296,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,297,316,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421844.3|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,491,558,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1,50,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,51,73,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
PQ421842.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,74,592,interpro_выдача/not_annot_targetCDS_ids_part1_not_pfam_superfamily.csv
