MT137996_NA_cfe153ast01_NA_2018	MT137996_NA_cfe153ast01_NA_2018
MW588062_NA_NA_NA_NA	MW588062_NA_NA_NA_NA
MW588062_NA_NA_NA_NA	MW588063_NA_NA_NA_NA
MT138009_NA_prf037ast1nc_NA_2018	MT138009_NA_prf037ast1nc_NA_2018
PP623814_NA_MP22-196_Mareca-falcata_2022	PP623814_NA_MP22-196_Mareca-falcata_2022
MT993596_NA_MW10-1o_Arenaria-interpres-(ruddy-turnstone)_2015	MT993596_NA_MW10-1o_Arenaria-interpres-(ruddy-turnstone)_2015
MT993595_NA_MW09-1o_Arenaria-interpres-(ruddy-turnstone)_2015	MT993595_NA_MW09-1o_Arenaria-interpres-(ruddy-turnstone)_2015
MT137994_NA_bsk136ast01_NA_2018	MT137994_NA_bsk136ast01_NA_2018
OP272633_NA_AH33-3_goose_2021	OP272633_NA_AH33-3_goose_2021
OP272633_NA_AH33-3_goose_2021	OR924093_NA_NA_Goose_2021
OP272633_NA_AH33-3_goose_2021	MZ819185_NA_ZJC14_goose_2020
OP272633_NA_AH33-3_goose_2021	OR211592_NA_GAstV-HBLY_goose_2023
OP272633_NA_AH33-3_goose_2021	PP786658_NA_JY202323_goose_2023
OP272633_NA_AH33-3_goose_2021	OR907134_NA_NA_Goose_2022
OP272633_NA_AH33-3_goose_2021	OR907133_NA_NA_Goose_2023
OP272633_NA_AH33-3_goose_2021	OR907132_NA_NA_Goose_2023
OP272633_NA_AH33-3_goose_2021	OM264914_NA_NA_goslings_2019
OP272633_NA_AH33-3_goose_2021	OR907131_NA_NA_Goose_2023
OP272633_NA_AH33-3_goose_2021	OM264913_NA_NA_goslings_2019
OP272633_NA_AH33-3_goose_2021	OM264912_NA_NA_goslings_2019
OP272633_NA_AH33-3_goose_2021	OM264911_NA_NA_goslings_2019
OP272633_NA_AH33-3_goose_2021	OM200916_NA_NA_goslings_2019
OP272633_NA_AH33-3_goose_2021	PP382209_NA_J3-2021_Jiangnan-White-Goose_2021
OP272633_NA_AH33-3_goose_2021	OL762472_NA_JXYC_goose_NA
OP272633_NA_AH33-3_goose_2021	OP776630_NA_NA_goose_2021
OP272633_NA_AH33-3_goose_2021	OL762471_NA_JXGZ_goose_NA
OP272633_NA_AH33-3_goose_2021	OR827024_NA_GAstV-JSXZ_goose_2022
OP272633_NA_AH33-3_goose_2021	MH410610_NA_NA_goslings_2017
OP272633_NA_AH33-3_goose_2021	OK571391_NA_ZJC14_goslings_2020
OP272633_NA_AH33-3_goose_2021	NC-034567_NA_FLX_Hortobagy-goose_2014
OP272633_NA_AH33-3_goose_2021	PP763758_NA_AAstV-Goose-CHN-2023-C102_goose_2023
OP272633_NA_AH33-3_goose_2021	MW786757_NA_SCCD_goose_2018
OP272633_NA_AH33-3_goose_2021	MW353015_NA_TZ03_goose_2019
OP272633_NA_AH33-3_goose_2021	PP108251_NA_NA_goose_2023
OP272633_NA_AH33-3_goose_2021	MW340534_NA_SCCD_goose_2019
OP272633_NA_AH33-3_goose_2021	KY271027_NA_FLX_Hortobagy-goose_2014
MT137992_NA_bfb201ast01_NA_2018	MT137992_NA_bfb201ast01_NA_2018
MT137992_NA_bfb201ast01_NA_2018	MN920672_NA_ytb090ast01_NA_2018
MT137992_NA_bfb201ast01_NA_2018	MN920671_NA_ytb089ast01_NA_2018
MT137992_NA_bfb201ast01_NA_2018	MN920669_NA_ybb150ast01_NA_2018
MH453801_NA_AstV-Red-necked-Avocet-MW09-Interior_Red-necked-Avocet_2013	MH453801_NA_AstV-Red-necked-Avocet-MW09-Interior_Red-necked-Avocet_2013
MH453801_NA_AstV-Red-necked-Avocet-MW09-Interior_Red-necked-Avocet_2013	MT993583_NA_MW06-2o_Arenaria-interpres-(ruddy-turnstone)_2014
MT137991_NA_bbr144ast1_NA_2018	MT137991_NA_bbr144ast1_NA_2018
MH453800_NA_AstV-Red-necked-Avocet-MW08-Interior_Red-necked-Avocet_2013	MH453800_NA_AstV-Red-necked-Avocet-MW08-Interior_Red-necked-Avocet_2013
AF206663_NA_NA_NA_NA	AF206663_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	NC-005790_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	KF753807_NA_NA_NA_2012
AF206663_NA_NA_NA_NA	KF753806_NA_NA_NA_2012
AF206663_NA_NA_NA_NA	KF753805_NA_NA_NA_2012
AF206663_NA_NA_NA_NA	KF753804_NA_NA_NA_2012
AF206663_NA_NA_NA_NA	EU143851_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143850_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143849_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143848_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143847_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143846_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143845_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143844_NA_NA_NA_NA
AF206663_NA_NA_NA_NA	EU143843_NA_NA_NA_NA
PP966939_NA_GZ2301_goose_2023	PP966939_NA_GZ2301_goose_2023
PP966939_NA_GZ2301_goose_2023	OP621331_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	OM100597_NA_AstV-HB06-Goose-1226-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MW505487_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN307120_NA_AstV-HN03-Goose-0402-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MN428642_NA_GD-AHAU2_goose_2018
PP966939_NA_GZ2301_goose_2023	OP621330_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	OM100596_NA_AstV-HB05-Goose-0812-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MW505486_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN109957_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307119_NA_AstV-HB02-Goose-0310-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MN428641_NA_AHAU1_goose_2018
PP966939_NA_GZ2301_goose_2023	OP484924_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OM100595_NA_AstV-HB04-Goose-0811-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MW505485_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN109956_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307118_NA_AstV-HB01-Goose-0123-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MN175321_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OP484923_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OM100594_NA_AstV-HB03-Goose-0810-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MZ648231_NA_AAstV-Goose-CHN-2021-ZM_goose_2021
PP966939_NA_GZ2301_goose_2023	MN109955_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307117_NA_AstV-HN02-Goose-1119-18_goose_2018
PP966939_NA_GZ2301_goose_2023	ON954324_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	OM100593_NA_AstV-AN06-Goose-0714-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MN109954_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307116_NA_AstV-AH02-Goose-0715-18_goose_2018
PP966939_NA_GZ2301_goose_2023	PV780437_NA_JX05_Anser-anser_2025
PP966939_NA_GZ2301_goose_2023	OM100592_NA_AstV-AH05-Goose-0711-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MZ819184_NA_ZJLD_goose_2020
PP966939_NA_GZ2301_goose_2023	MN127959_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307115_NA_AstV-AH01-Goose-0512-18_goose_2018
PP966939_NA_GZ2301_goose_2023	PV780436_NA_JX04_Anser-anser_2023
PP966939_NA_GZ2301_goose_2023	OM100591_NA_AstV-AH04-Goose-0614-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MZ819183_NA_JRMS_goose_2020
PP966939_NA_GZ2301_goose_2023	MN127958_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN307114_NA_AstV-HN01-Goose-0103-18_goose_2018
PP966939_NA_GZ2301_goose_2023	PV780435_NA_JX03_Anser-anser_2023
PP966939_NA_GZ2301_goose_2023	PQ740944_NA_CH-HBXT-2022_goose_2022
PP966939_NA_GZ2301_goose_2023	OM100590_NA_AstV-AH03-Goose-0422-19_goose_2019
PP966939_NA_GZ2301_goose_2023	MW536497_NA_YC20_goose_2020
PP966939_NA_GZ2301_goose_2023	MN127957_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN894548_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN068024_NA_GTF-07_goose_2018
PP966939_NA_GZ2301_goose_2023	PV780434_NA_JX02_Anser-anser_2023
PP966939_NA_GZ2301_goose_2023	OQ787033_NA_JL01-0801-19_goose_2019
PP966939_NA_GZ2301_goose_2023	OM455389_NA_HeB-BD4-2019_goose_2019
PP966939_NA_GZ2301_goose_2023	OK148600_NA_NA_goose_2020
PP966939_NA_GZ2301_goose_2023	MN127956_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MN068023_NA_GTF-04_goose_2018
PP966939_NA_GZ2301_goose_2023	ON400505_NA_GAstV-GD2104_goose_2021
PP966939_NA_GZ2301_goose_2023	OM455388_NA_HeB-BD1-2021_goose_2021
PP966939_NA_GZ2301_goose_2023	OM273310_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN127955_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN337323_NA_XX_goose_2018
PP966939_NA_GZ2301_goose_2023	OQ909424_NA_Sichuan_goose_2021
PP966939_NA_GZ2301_goose_2023	OM273309_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN127954_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	MN399857_NA_SDXT_duck_2019
PP966939_NA_GZ2301_goose_2023	PQ552759_NA_NA_duck_2024
PP966939_NA_GZ2301_goose_2023	ON382522_NA_GAstV-GD2105_goose_2022
PP966939_NA_GZ2301_goose_2023	OM273308_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN127953_NA_NA_goose_2019
PP966939_NA_GZ2301_goose_2023	PQ435198_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	ON382521_NA_GAstV-GD2103_goose_2021
PP966939_NA_GZ2301_goose_2023	OM273307_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN127952_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	MK125058_NA_JSHA_gosling_2016
PP966939_NA_GZ2301_goose_2023	ON382520_NA_GAstV-GD2102_goose_2021
PP966939_NA_GZ2301_goose_2023	OM273306_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN127951_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	PV600843_NA_HNJZ-2023_goose_2023
PP966939_NA_GZ2301_goose_2023	PQ308726_NA_GAstV-GDFS-Goose-2024_goose_2024
PP966939_NA_GZ2301_goose_2023	ON382519_NA_GAstV-GD2101_goose_2021
PP966939_NA_GZ2301_goose_2023	ON205965_NA_AAstv-CHN-Goose-2018_goose_2018
PP966939_NA_GZ2301_goose_2023	OM273305_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MN103532_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	PV524668_NA_JXNC1_goose_2025
PP966939_NA_GZ2301_goose_2023	PP382210_NA_J2-2021_Jiangnan-White-Goose_2021
PP966939_NA_GZ2301_goose_2023	OM811458_NA_Astv-Goose-Heilongjiang-ZYL01-2018_goose_2018
PP966939_NA_GZ2301_goose_2023	OL982615_NA_JSZ29_goose_2020
PP966939_NA_GZ2301_goose_2023	OM273304_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	ON156528_NA_NA_goose_2022
PP966939_NA_GZ2301_goose_2023	OL982614_NA_JSCZ15_goose_2015
PP966939_NA_GZ2301_goose_2023	OM273303_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MT708902_NA_AAstV-Goose-CHN-2019-DY-19_Anser-anser_2019
PP966939_NA_GZ2301_goose_2023	OL982613_NA_XSSH_goose_2020
PP966939_NA_GZ2301_goose_2023	OM273302_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	MH807626_NA_NA_goose_2018
PP966939_NA_GZ2301_goose_2023	OR902765_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	OP776629_NA_NA_goose_2021
PP966939_NA_GZ2301_goose_2023	ON745304_NA_ZJCX_landaise_2021
PP966939_NA_GZ2301_goose_2023	OL963558_NA_JSW10_goose_2020
PP966939_NA_GZ2301_goose_2023	KY807085_NA_HN1G_Lingxian-White-Goose_2014
PP966939_NA_GZ2301_goose_2023	OR902764_NA_NA_goose_2023
PP966939_NA_GZ2301_goose_2023	OM937013_NA_NA_goose_2017
PP966939_NA_GZ2301_goose_2023	OL963557_NA_JSW1_goose_2020
