gene_id,pfam,length,sequence_id,strand,alignment_length,evalue,bit_score,identity,query_start,query_end,subject_start,subject_end,coverage,some_ratio,gaps,mismatches,q_len,s_len,frame,alignment_identity,score,category,description_1,description_2,description_3
Astro_1A,PF19415.4,244,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,4.4e-17,63.1,6.3,1,1,2.1e-20,7.5e-17,62.3,6.3,73,243,258,427,238,428,0.88,Astrovirus,transmembrane,protein,1A
Trypsin_2,PF13365.13,145,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,6.4e-12,46.9,0.0,1,2,1.6,6e+03,-1.6,0.0,23,89,77,137,61,165,0.75,Trypsin-like,peptidase,domain,
Trypsin_2,PF13365.13,145,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,6.4e-12,46.9,0.0,2,2,7.7e-15,2.8e-11,44.8,0.0,1,145,459,578,459,578,0.83,Trypsin-like,peptidase,domain,
Peptidase_S32,PF05579.20,297,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,1.2e-05,25.2,1.0,1,1,5.9e-09,2.2e-05,24.3,1.0,107,228,447,582,436,598,0.67,Equine,arteritis,virus,serine
Astro_p19,PF19414.4,174,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,0.0011,19.0,0.0,1,1,7.4e-07,0.0027,17.6,0.0,8,165,6,158,2,168,0.76,Astrovirus,p19,protein,
HAD_2,PF13419.13,178,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,0.0029,18.1,0.0,1,1,2e-06,0.0073,16.8,0.0,52,107,706,761,674,765,0.70,Haloacid,dehalogenase-like,hydrolase,
Peptidase_C3,PF00548.27,166,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,0.0046,17.4,0.1,1,1,3e-06,0.011,16.2,0.1,128,165,545,583,537,584,0.88,3C,cysteine,protease,(picornain
Csm1_N,PF18504.7,70,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,3.7,8.4,5.0,1,2,0.036,1.3e+02,3.5,0.2,34,61,108,135,104,139,0.79,Csm1,N-terminal,domain,
Csm1_N,PF18504.7,70,PP872132_NA_astro-vt-414_Sus-scrofa-domesticus_2014,-,766,3.7,8.4,5.0,2,2,0.0058,21,6.0,0.7,40,61,604,625,601,630,0.81,Csm1,N-terminal,domain,
Trypsin_2,PF13365.13,145,PP872120_NA_astro-vt-402_Sus-scrofa-domesticus_2014,-,548,5.1e-08,34.3,0.1,1,1,1.9e-11,1.6e-07,32.7,0.1,1,132,426,533,426,533,0.90,Trypsin-like,peptidase,domain,
Astro_1A,PF19415.4,244,PP872120_NA_astro-vt-402_Sus-scrofa-domesticus_2014,-,548,0.00098,19.4,7.7,1,1,1.8e-07,0.0016,18.7,7.7,72,230,225,383,215,396,0.82,Astrovirus,transmembrane,protein,1A
Trypsin,PF00089.33,220,PP872120_NA_astro-vt-402_Sus-scrofa-domesticus_2014,-,548,0.031,14.6,0.0,1,1,8.1e-06,0.069,13.4,0.0,26,99,425,480,412,511,0.71,Trypsin,,,
Astro_1A,PF19415.4,244,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,1.2e-12,48.5,7.5,1,1,7.2e-16,2e-12,47.8,7.5,73,243,245,414,228,415,0.92,Astrovirus,transmembrane,protein,1A
Trypsin_2,PF13365.13,145,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,5.8e-12,47.1,0.1,1,2,1.2,3.4e+03,-0.8,0.0,18,89,59,124,48,140,0.75,Trypsin-like,peptidase,domain,
Trypsin_2,PF13365.13,145,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,5.8e-12,47.1,0.1,2,2,1.1e-14,3e-11,44.7,0.1,1,145,446,565,446,565,0.85,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,1.4e-10,42.4,1.9,1,1,1e-13,2.9e-10,41.4,1.9,1,77,670,737,670,742,0.84,Astrovirus,VPg,protein,
Peptidase_S32,PF05579.20,297,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.0011,18.8,0.4,1,1,6.7e-07,0.0019,18.0,0.4,126,229,454,570,439,595,0.73,Equine,arteritis,virus,serine
Peptidase_C3,PF00548.27,166,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.032,14.7,0.0,1,4,3.1,8.9e+03,-3.0,0.0,60,83,92,115,66,129,0.68,3C,cysteine,protease,(picornain
Peptidase_C3,PF00548.27,166,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.032,14.7,0.0,2,4,2.3,6.5e+03,-2.6,0.0,29,57,165,193,151,205,0.70,3C,cysteine,protease,(picornain
Peptidase_C3,PF00548.27,166,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.032,14.7,0.0,3,4,5.3,1.5e+04,-3.8,1.2,146,161,450,465,443,467,0.88,3C,cysteine,protease,(picornain
Peptidase_C3,PF00548.27,166,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.032,14.7,0.0,4,4,1.1e-05,0.032,14.7,0.0,128,165,532,570,524,571,0.88,3C,cysteine,protease,(picornain
Astro_p19,PF19414.4,174,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.056,13.4,0.0,1,2,0.00025,0.7,9.8,0.0,33,144,20,125,1,153,0.64,Astrovirus,p19,protein,
Astro_p19,PF19414.4,174,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.056,13.4,0.0,2,2,0.13,3.8e+02,0.9,0.0,113,151,589,627,548,635,0.87,Astrovirus,p19,protein,
Trypsin,PF00089.33,220,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.19,12.0,2.2,1,2,0.00014,0.39,11.0,0.5,28,68,447,483,431,495,0.63,Trypsin,,,
Trypsin,PF00089.33,220,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.19,12.0,2.2,2,2,0.48,1.4e+03,-0.6,0.0,178,198,549,569,542,579,0.82,Trypsin,,,
TSC22,PF01166.24,57,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.95,10.2,8.8,1,3,0.027,78,4.0,0.5,21,46,102,127,99,130,0.91,TSC-22/dip/bun,family,,
TSC22,PF01166.24,57,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.95,10.2,8.8,2,3,0.0063,18,6.1,0.2,16,34,594,612,591,617,0.87,TSC-22/dip/bun,family,,
TSC22,PF01166.24,57,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,0.95,10.2,8.8,3,3,0.038,1.1e+02,3.6,0.1,11,48,651,667,648,676,0.62,TSC-22/dip/bun,family,,
DUF2149,PF09919.15,92,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,4.6,8.1,4.9,1,3,5.3,1.5e+04,-3.2,0.0,32,32,162,162,139,208,0.43,Uncharacterized,conserved,protein,(DUF2149)
DUF2149,PF09919.15,92,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,4.6,8.1,4.9,2,3,6.8,1.9e+04,-3.5,0.0,13,31,250,268,249,270,0.78,Uncharacterized,conserved,protein,(DUF2149)
DUF2149,PF09919.15,92,PP872111_NA_astro-vt-393_Sus-scrofa-domesticus_2014,-,742,4.6,8.1,4.9,3,3,0.00087,2.5,8.9,1.4,33,87,640,695,630,697,0.81,Uncharacterized,conserved,protein,(DUF2149)
Trypsin_2,PF13365.13,145,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,1.5e-13,52.2,0.2,1,1,1.3e-16,4.8e-13,50.6,0.2,1,145,431,551,431,551,0.85,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,9.2e-12,46.2,1.3,1,1,5e-15,1.8e-11,45.3,1.3,1,90,641,725,641,757,0.83,Astrovirus,VPg,protein,
Peptidase_S32,PF05579.20,297,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.00012,21.8,0.2,1,1,6.5e-08,0.00024,20.9,0.2,126,236,439,564,427,573,0.74,Equine,arteritis,virus,serine
Peptidase_C3,PF00548.27,166,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.0072,16.8,0.0,1,1,4.3e-06,0.016,15.7,0.0,129,166,519,557,509,557,0.89,3C,cysteine,protease,(picornain
Astro_1A,PF19415.4,244,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.0083,16.3,6.1,1,1,3.4e-06,0.013,15.8,6.1,73,241,232,399,210,402,0.85,Astrovirus,transmembrane,protein,1A
Trypsin,PF00089.33,220,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.0097,16.2,2.1,1,2,2.2e-05,0.08,13.2,0.3,27,99,431,485,418,523,0.75,Trypsin,,,
Trypsin,PF00089.33,220,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.0097,16.2,2.1,2,2,0.054,2e+02,2.1,0.1,169,199,528,556,509,571,0.79,Trypsin,,,
DUF433,PF04255.21,56,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.42,11.0,1.0,1,3,1.6,5.8e+03,-2.3,0.0,48,56,521,529,520,529,0.91,Protein,of,unknown,function
DUF433,PF04255.21,56,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.42,11.0,1.0,2,3,0.0042,15,6.0,0.2,26,49,678,701,677,703,0.94,Protein,of,unknown,function
DUF433,PF04255.21,56,PP872080_NA_astro-vt-362_Sus-scrofa-domesticus_2016,-,830,0.42,11.0,1.0,3,3,0.083,3e+02,1.8,0.0,27,51,741,765,731,766,0.87,Protein,of,unknown,function
Astro_1A,PF19415.4,244,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,1.5e-15,58.1,8.4,1,1,8.7e-19,2.5e-15,57.4,8.4,73,243,99,268,95,269,0.92,Astrovirus,transmembrane,protein,1A
Trypsin_2,PF13365.13,145,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,1e-11,46.2,0.1,1,1,7e-15,2e-11,45.3,0.1,1,145,300,419,300,419,0.85,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,9.2e-07,30.2,6.0,1,2,0.8,2.3e+03,-0.0,0.0,35,62,25,52,9,77,0.76,Astrovirus,VPg,protein,
Astro_VPg,PF19416.5,104,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,9.2e-07,30.2,6.0,2,2,3.7e-10,1e-06,30.0,3.1,1,55,525,570,525,571,0.87,Astrovirus,VPg,protein,
Peptidase_S32,PF05579.20,297,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.00061,19.6,0.3,1,1,4.2e-07,0.0012,18.6,0.3,126,229,308,424,293,446,0.73,Equine,arteritis,virus,serine
Peptidase_C3,PF00548.27,166,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.023,15.1,0.0,1,2,3.9,1.1e+04,-3.4,1.2,146,161,304,319,297,321,0.88,3C,cysteine,protease,(picornain
Peptidase_C3,PF00548.27,166,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.023,15.1,0.0,2,2,8.1e-06,0.023,15.1,0.0,128,165,386,424,378,425,0.88,3C,cysteine,protease,(picornain
Trypsin,PF00089.33,220,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.14,12.5,2.4,1,2,9.9e-05,0.28,11.5,0.5,28,68,301,337,285,349,0.63,Trypsin,,,
Trypsin,PF00089.33,220,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.14,12.5,2.4,2,2,0.34,9.6e+02,-0.1,0.1,178,198,403,423,395,434,0.82,Trypsin,,,
TSC22,PF01166.24,57,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.2,12.3,2.5,1,2,0.0039,11,6.7,0.2,16,35,448,467,445,472,0.87,TSC-22/dip/bun,family,,
TSC22,PF01166.24,57,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,0.2,12.3,2.5,2,2,0.013,37,5.1,0.2,32,52,506,526,502,531,0.63,TSC-22/dip/bun,family,,
DUF5339,PF17274.8,70,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,3.1,9.2,8.7,1,2,0.053,1.5e+02,3.8,0.7,8,38,27,57,25,59,0.89,Family,of,unknown,function
DUF5339,PF17274.8,70,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,3.1,9.2,8.7,2,2,0.0014,4.1,8.8,1.8,23,48,442,467,434,471,0.84,Family,of,unknown,function
DUF2149,PF09919.15,92,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,6,7.7,6.3,1,2,4.8,1.4e+04,-3.0,0.2,48,67,447,466,437,471,0.50,Uncharacterized,conserved,protein,(DUF2149)
DUF2149,PF09919.15,92,PP872059_NA_astro-vt-341_Sus-scrofa-(wild-boar)_2014,-,571,6,7.7,6.3,2,2,0.00029,0.82,10.5,1.4,33,87,495,550,485,552,0.81,Uncharacterized,conserved,protein,(DUF2149)
Astro_VPg,PF19416.5,104,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,3.8e-12,47.5,2.1,1,1,3.1e-15,7.2e-12,46.6,2.1,1,90,427,508,427,520,0.83,Astrovirus,VPg,protein,
Trypsin_2,PF13365.13,145,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,4.5e-11,44.2,0.0,1,1,4.2e-14,9.7e-11,43.1,0.0,1,145,217,336,217,336,0.85,Trypsin-like,peptidase,domain,
Astro_1A,PF19415.4,244,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,1.4e-08,35.3,2.9,1,1,1e-11,2.4e-08,34.5,2.9,74,240,17,182,11,186,0.88,Astrovirus,transmembrane,protein,1A
Peptidase_S32,PF05579.20,297,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,4.6e-07,29.8,1.0,1,1,3.4e-10,8e-07,29.0,1.0,124,229,223,341,198,356,0.68,Equine,arteritis,virus,serine
Peptidase_C3,PF00548.27,166,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.0005,20.6,0.0,1,1,4.8e-07,0.0011,19.4,0.0,127,165,302,341,295,342,0.90,3C,cysteine,protease,(picornain
FapA,PF03961.20,272,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.095,12.8,0.5,1,1,6.3e-05,0.15,12.2,0.5,149,234,356,439,335,451,0.81,Flagellar,Assembly,Protein,A
Peptidase_S29,PF02907.22,149,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.12,12.6,1.3,1,2,0.00028,0.65,10.2,1.3,15,129,218,341,204,358,0.57,Hepatitis,C,virus,NS3
Peptidase_S29,PF02907.22,149,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.12,12.6,1.3,2,2,2.8,6.5e+03,-2.7,0.0,57,76,388,407,366,422,0.81,Hepatitis,C,virus,NS3
Trypsin,PF00089.33,220,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.14,12.4,0.8,1,2,0.00025,0.58,10.4,0.1,27,63,217,254,202,269,0.64,Trypsin,,,
Trypsin,PF00089.33,220,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.14,12.4,0.8,2,2,0.46,1.1e+03,-0.3,0.0,177,198,319,340,303,350,0.81,Trypsin,,,
DUF7547,PF24414.2,208,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.7,10.3,4.7,1,3,9.4e-05,0.22,12.0,0.6,5,37,364,396,362,401,0.91,Family,of,unknown,function
DUF7547,PF24414.2,208,PP871941_NA_astro-vt-223_Sus-scrofa-domesticus_2015,-,533,0.7,10.3,4.7,2,3,1.2,2.8e+03,-1.5,0.1,10,25,415,430,408,457,0.73,Family,of,unknown,function
