ID белка,product,Хэш-белка,Длина белка,Источник предсказания,ID домена/мотива,Описание предсказания,Начало,Конец,E-value,Unnamed: 9,Дата,Unnamed: 11,Название семейства/белка,Unnamed: 13,Unnamed: 14
PQ055536.2|,putative RNA-dependent RNA polymerase,e5666bb584b0ce10d9d9e71c2de8be9f,519,Pfam,PF00680,Viral RNA-dependent RNA polymerase,59,421,2.6E-31,T,29-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
PQ055535.2|,putative RNA-dependent RNA polymerase,d72056e8c412927ee22a124726a44bdd,537,Pfam,PF00680,Viral RNA-dependent RNA polymerase,121,433,7.6E-11,T,29-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
PQ055539.2|,putative RNA-dependent RNA polymerase,f7b601b55a0d5b9b6bfa8502a557d717,536,Pfam,PF00680,Viral RNA-dependent RNA polymerase,140,394,6.3E-18,T,29-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
PQ055530.2|,putative RNA-dependent RNA polymerase,d387d811daef14f8a5e305fe573c2a5e,591,Pfam,PF00680,Viral RNA-dependent RNA polymerase,79,492,2.7E-22,T,29-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
PQ055528.2|,putative RNA-dependent RNA polymerase,9283939e3acc32cf3a4db7b1918fa954,652,Pfam,PF00680,Viral RNA-dependent RNA polymerase,127,452,9.9E-40,T,29-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
OP413943.1|,ORF1A,108fc9f281f7c35dd941f84c0f18cbfb,844,Pfam,PF19415,Astrovirus transmembrane protein 1A,239,410,0.0011,T,29-10-2025,IPR045835,Astrovirus transmembrane protein 1A,-,MetaCyc:PWY-7884
OP413943.1|,ORF1A,108fc9f281f7c35dd941f84c0f18cbfb,844,Pfam,PF13365,Trypsin-like peptidase domain,443,562,4.3E-7,T,29-10-2025,-,-,-,-
PQ055539.1|,putative peptidase,1782762c31fbe34c534fe5b9598bcd69,326,Pfam,PF00548,3C cysteine protease (picornain 3C),273,307,0.16,T,29-10-2025,IPR000199,"Peptidase C3A/C3B, picornaviral",GO:0004197(InterPro)|GO:0006508(InterPro),MetaCyc:PWY-6545|MetaCyc:PWY-7184|MetaCyc:PWY-7185|MetaCyc:PWY-7198|MetaCyc:PWY-7210
PQ055535.1|,putative peptidase,f937877db0f9473237c3b3b0358fed64,763,Pfam,PF13365,Trypsin-like peptidase domain,600,731,4.1E-7,T,29-10-2025,-,-,-,-
PQ055536.3|,putative viral coat protein,f99685f93f6d98a53f1d6807095a7698,581,Pfam,PF00729,Viral coat protein (S domain),242,398,0.002,T,29-10-2025,IPR000937,"Icosahedral viral capsid protein, S domain",GO:0005198(InterPro)|GO:0019028(InterPro),-
