>PP871917_1 [1 - 4170] | [0-4173]
>PP871917_2 [3935 - 6475] | [0-4173]
>PP173657_1 [6586 - 32] (REVERSE SENSE) | [28-6586]
>PP172843_1 [9238 - 74] (REVERSE SENSE) | [70-9073]
>PP172690_1 [3 - 4331] | [2-4331]
>ON807348_1 [1 - 4251] | [0-4254] 
>ON807348_2 [4139 - 6580] | [0-4254] 
>MZ546174_1 [187 - 4485] | [198-4488]
>MZ546174_2 [4373 - 6841] | [198-4488]
>OM451148_1 [31 - 4269] | [36-4272]
>OM451148_2 [4157 - 6682] | [36-4272]
>OM451116_1 [2 - 4150] | [1-4153]
>OM451116_2 [4059 - 6653] | [1-4153]
>OM451114_1 [1 - 4086] | [0-4089]
>OM451114_2 [4149 - 6413] | [0-4089]
>OM451113_1 [12 - 4187] | [98-4190]
>OM451113_2 [3952 - 6375] | [98-4190]
>OM451109_1 [3 - 4151] | [2-4154]
>OM451109_2 [4099 - 6498] | [2-4154]
>OM451115_1 [30 - 4268] | [35-4271]
>OM451115_2 [4156 - 6624] | [35-4271]
>OM451112_1 [64 - 4302] | [69-4305]
>OM451112_2 [4190 - 6709] | [69-4305]
>OM451111_1 [53 - 4291] | [58-4294]
>OM451111_2 [4179 - 6698] | [58-4294]
>OM451110_1 [2 - 4321] | [1-4324]
>OM451110_2 [4221 - 6782] | [1-4324]
>MW863310_1 [65 - 4363] | [76-4366]
>MW863310_2 [4251 - 6719] | [76-4366]
>MW346737_1 [3 - 4265] | [24-4268]
>MN035838_1 [5684 - 45] (REVERSE SENSE) | [5684-45]
>MN033872_1 [689 - 8041] | [838-8044]
>MN033872_2 [8264 - 9856] | [838-8044]
>NC_030922_1 [1 - 4293] | [0-4296]
>NC_030922_2 [4181 - 6670] | [0-4296]
>KC342249_1 [73 - 4371] | [84-4374]
>KC342249_2 [4259 - 6727] | [84-4374]
>AB325804_1 [1 - 4272] | [0-4275]
>AB308374_1 [1 - 4293] | [0-4296]
>AB308374_2 [4181 - 6670] | [0-4296]
>FJ375759_1 [71 - 4369] | [82-4372]
>FJ375759_2 [4257 - 6725] | [82-4372]
