Position in alignment;Recombination breakpoint number (200nt win);Upper 99% CI;Lower 99% CI;Upper 95% CI;Lower 95% CI;A;B;C;D;E
1;0;8919629;1;109968;1;109968;0;8969544;0;8969544
3;0;9820708;1;231236;0;0;9874529;0;;
5;1;72179;1;4094;0;0;9895502;0;;
7;1;162287;1;503686;0;0;991695;0;;
9;1;252394;1;518245;0;0;9955401;0;;
11;1;303682;1;53778;0;0;9990781;0;;
13;1;316148;1;539331;0;0;9990882;0;;
15;1;328615;1;540882;0;0;9990982;0;;
17;1;341082;1;542433;0;0;9991083;0;;
19;1;353549;1;543984;0;0;9991183;0;;
21;1;366015;1;545535;0;0;9991284;0;;
23;1;378482;1;547086;0;0;9991385;0;;
25;1;390949;1;548637;0;0;9991485;0;;
27;1;403415;1;550188;0;0;9991586;0;;
29;1;415882;1;551739;0;0;9991686;0;;
31;1;428349;1;55329;0;0;9994858;0;;
33;1;440815;1;554841;0;0;9995178;0;;
35;1;453282;1;556392;0;0;9995498;0;;
37;1;465749;1;557943;0;1;0;;;
39;1;478215;1;559494;0;1;0;;;
41;1;490682;1;561045;0;1;0;;;
43;1;503149;1;562596;0;1;0;;;
45;1;515616;1;564147;0;1;0;;;
47;1;528082;1;565698;0;1;0;;;
49;1;540549;1;567249;0;1;0;;;
51;1;553016;1;5688;0;1;0;;;
53;1;565482;1;570351;0;1;0;;;
55;1;577949;1;571902;0;1;0;;;
57;1;590416;1;573453;0;1;0;;;
59;1;602882;1;575093;0;1;0;;;
61;1;615349;1;584147;0;1;4483;0;;
63;1;627816;1;5932;0;1;4567;0;;
65;1;640283;1;602254;0;1;4651;0;;
67;1;652749;1;611307;0;1;4734;0;;
69;1;665216;1;620361;0;1;4818;0;;
71;1;677683;1;637698;0;1;16252;0;;
73;1;690149;1;697407;0;1;34443;0;;
75;1;702616;1;715161;0;1;44485;0;;
77;1;715083;1;745248;0;1;47227;0;;
79;1;727549;1;748819;0;1;54335;0;;
81;1;740016;1;750073;0;1;54994;0;;
83;1;752483;1;755588;0;1;77003;0;;
85;1;764949;1;779349;0;1;111338;0;;
87;1;777416;1;797614;0;1;111338;0;;
89;1;789883;1;828368;0;1;151707;0;;
91;1;801981;1;860432;0;1;168496;0;;
93;1;81408;1;892496;0;1;174285;0;;
95;1;826178;1;920333;0;1;180124;0;;
97;1;838277;1;924407;0;1;238406;0;;
99;1;853975;1;942711;0;1;253347;0;;
101;1;873273;1;942711;0;1;299515;0;;
103;1;892572;1;946699;0;1;416024;0;;
105;1;910658;1;969624;0;1;536437;0;;
107;1;927534;1;97813;0;1;632067;0;;
109;1;944814;2;9615;0;1;768912;0;;
111;1;959195;2;426633;0;1;805085;0;;
113;1;973577;2;46567;0;1;806239;0;;
115;1;987958;2;473112;0;1;807394;0;;
117;1;998373;2;473809;0;1;808628;0;;
119;1;999166;2;474414;0;1;9132;0;;
121;1;99945;2;475765;0;1;930647;0;;
123;1;999638;2;528497;0;1;951316;0;;
125;1;999728;2;57935;0;1;988523;0;;
127;1;999819;2;651583;0;1;988523;0;;
129;1;99991;2;75405;0;1;988523;0;;
131;2;2;820057;0;1;991061;0;;;
133;2;2;821;0;1;997137;0;;;
135;2;2;821943;0;1;999191;0;;;
137;2;2;876585;0;2;14894;0;;;
139;2;2;883274;0;2;21072;0;;;
141;2;2;89331;0;2;24995;0;;;
143;2;2;902925;0;2;4318;0;;;
145;2;2;91222;0;2;66583;0;;;
147;2;2;920764;0;2;119587;0;;;
149;2;2;925704;0;2;14153;0;;;
151;2;2;927052;0;2;152497;0;;;
153;2;2;930566;0;2;196788;0;;;
155;2;2;945392;0;2;197625;0;;;
157;2;2;969297;0;2;202021;0;;;
159;2;2;99222;0;2;206608;0;;;
161;2;2;995493;0;2;207335;0;;;
163;2;2;998765;0;2;212156;0;;;
165;2;3;2038;0;2;223246;0;;;
167;2;3;5311;0;2;242108;0;;;
169;2;3;8583;0;2;240957;0;;;
171;2;3;11856;0;2;238693;0;;;
173;2;3;27307;0;2;233002;0;;;
175;2;3;43044;0;2;220491;0;;;
177;2;3;59068;0;2;220472;0;;;
179;2;3;84729;0;2;276055;0;;;
181;2;3;91895;0;2;280509;0;;;
183;1;99988;3;99061;0;2;316166;0;;
185;1;999314;3;106228;0;2;360984;0;;
187;1;994336;3;130753;0;2;324592;0;;
189;1;968055;3;133225;0;2;308378;0;;
191;1;717357;3;134841;0;2;320693;0;;
193;1;547859;3;131135;0;2;322145;0;;
195;1;378361;3;12584;0;2;368255;0;;
197;1;288253;3;117903;0;2;351882;0;;
199;1;198145;3;164591;0;2;349399;0;;
201;1;108037;3;272175;0;2;332294;0;;
203;1;17929;3;484143;0;2;516733;0;;
