ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix,coords,strand
PQ055536.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,PQ055536,2006-3565,+
PQ055536.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ055536,2006-3565,+
PQ055536.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,PQ055536,2006-3565,+
PQ055536.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ055536,2006-3565,+
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055530,14-784,+
PQ055530.1|,-,consensus disorder prediction,MobiDBLite,-,-,PQ055530,14-784,+
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,PX289198,1-3273,+
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198,1-3273,+
PX289198.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289198,1-3273,+
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289198,1-3273,+
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198,1-3273,+
PX289198.1|,-,Coil,Coils,-,-,PX289198,1-3273,+
PX289198.1|,Zinc finger C2H2-type,Zinc finger C2H2 type domain profile.,ProSiteProfiles,-,-,PX289198,1-3273,+
PX289198.1|,-,Coil,Coils,-,-,PX289198,1-3273,+
PX289198.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,PX289198,1-3273,+
PX289198.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,PX289198,1-3273,+
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198,1-3273,+
PX289198.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,PX289198,1-3273,+
PX289198.1|,-,consensus disorder prediction,MobiDBLite,-,-,PX289198,1-3273,+
PX289198.1|,-,consensus disorder prediction,MobiDBLite,-,-,PX289198,1-3273,+
