ID белка,Хэш-белка,Длина белка,Источник предсказания,ID домена/мотива,Описание предсказания,Начало,Конец,E-value,Unnamed: 9,Дата,Unnamed: 11,Название семейства/белка,Unnamed: 13,Unnamed: 14
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,308,330,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",289,308,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",401,947,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,340,360,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",361,371,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,MobiDBLite,mobidb-lite,consensus disorder prediction,810,822,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,MobiDBLite,mobidb-lite,consensus disorder prediction,927,947,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,MobiDBLite,mobidb-lite,consensus disorder prediction,779,842,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,MobiDBLite,mobidb-lite,consensus disorder prediction,827,841,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,266,288,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,266,288,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,183,201,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",329,339,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,183,202,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,TRANSMEMBRANE,Region of a membrane-bound protein predicted to be embedded in the membrane.,372,400,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",1,182,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,TMHMM,TMhelix,Region of a membrane-bound protein predicted to be embedded in the membrane.,340,359,-,T,02-11-2025,-,-,-,-
HUANSSPS.n+1,f4d09366a9552406f459c5c3e7547747,947,Phobius,NON_CYTOPLASMIC_DOMAIN,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",202,265,-,T,02-11-2025,-,-,-,-
