ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix,coords,strand
PQ055536.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ055536,2006-3565,+
PQ055536.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ055536,2006-3565,+
PX289198.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289198,1-3273,+
PX289198.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PX289198,1-3273,+
PX289198.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PX289198,1-3273,+
PP211222.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,,1B,PP211222,1-1330,+
PP211222.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PP211222,1-1330,+
PQ421842.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ421842,2089-3453,-
PQ421842.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ421842,2089-3453,-
PQ055536.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ055536,12-1988,+
PQ421844.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,,1A,PQ421844,3757-5979,-
PQ421844.3|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,,1A,PQ421844,3757-5979,-
PQ421842.1|,-,Positive stranded ssRNA viruses,SUPERFAMILY,,NotSpecific,PQ421842,153-1931,-
PQ421842.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,,2,PQ421842,153-1931,-
PQ421851.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,PQ421851,77-1135,+
PQ421851.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,PQ421851,77-1135,+
PX289196.1|,-,Trypsin-like peptidase domain,Pfam,,1A,PX289196,1-3029,+
