ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,class,1A,1A-strand,1B,1B-strand,2,2-strand
PV418557,PV418557.1,"Canine astrovirus isolate CaAstV/Dog/AUS/perth_6/2022 nonstructural protein gene, complete cds; RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-OCT-2025,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6478,"Mifsud,J.C.O., Harvey,E., Van Brussel,K., Olsson,A., Pitcher,B.J., Hall,J., Fenton,H., Alting,B.F., Sadiq,S. and Holmes,E.C.",,CaAstV/Dog/AUS/perth_6/2022,Australia: Perth,,Mar-2022,feces,Canis lupus familiaris,No,3,No,No,Mammalia,59-2606,1.0,2569-4138,1.0,4091-6455,1.0
PX236817,PX236817.1,"Possum astrovirus isolate M22 ORF1a protein and ORF1b protein genes, complete cds; and ORF2 protein gene, partial cds",24-SEP-2025,Possum astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5446,"French,R.K.",,M22,New Zealand,,2021,kidney/liver,Trichosurus vulpecula,No,3,No,No,Mammalia,18-2475,1.0,2489-3986,1.0,3876-5446,1.0
OR951098,OR951098.1,MAG: Bat astrovirus isolate JX2021_368_226027 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3758,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_368_226027,China,,2021,swab,Rhinolophus sinicus,Yes,0,No,No,Mammalia,48-807,1.0,806-2387,1.0,2424-3177,1.0
OR951097,OR951097.1,MAG: Bat astrovirus isolate JX2021_367_194485 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6021,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021_367_194485,China,,2021,swab,Rhinolophus sinicus,Yes,0,No,No,Mammalia,305-2255,1.0,2254-3832,1.0,3812-6008,1.0
OR951096,OR951096.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b-like gene, complete sequence",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1608,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021,China,,2021,swab,Rhinolophus affinis,Yes,0,No,No,Mammalia,NA-NA,,241-1608,1.0,NA-NA,
OR951095,OR951095.1,"MAG: Bat astrovirus isolate JX2021 polyprotein 1b gene, partial cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1381,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,JX2021,China,,2021,swab,Rhinolophus affinis,Yes,1,No,No,Mammalia,NA-NA,,0-1371,1.0,NA-NA,
OR951087,OR951087.1,MAG: Bat astrovirus isolate YN2020_321_29515 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6552,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_29515,China,,2020,swab,Miniopterus schreibersii,Yes,0,No,No,Mammalia,390-2625,1.0,2624-4205,1.0,4188-6510,1.0
OR951086,OR951086.1,MAG: Bat astrovirus isolate YN2020_321_25819 sequence,18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4824,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,YN2020_321_25819,China,,2020,swab,Miniopterus schreibersii,Yes,0,No,No,Mammalia,0-1615,1.0,1614-3192,1.0,3133-4824,1.0
OR951081,OR951081.1,"MAG: Bat astrovirus isolate Pool-312 polyprotein 1a and polyprotein 1b genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3410,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,Pool-312,China,,2020,swab,Hipposideros sp.,Yes,2,No,No,Mammalia,0-1842,1.0,1853-3380,1.0,NA-NA,
OR951080,OR951080.1,"MAG: Bat astrovirus isolate HB2020_306_19370 polyprotein 1a, polyprotein 1b, and capsid protein precursor, genes, complete cds",18-SEP-2025,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6680,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q. and Wu,Z.",,HB2020_306_19370,China,,2020,swab,Rhinolophus sinicus,Yes,3,No,No,Mammalia,37-2707,1.0,2718-4293,1.0,4093-6523,1.0
