ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,Start,End,id_prefix,coords,strand
OQ709190.1|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,,,OQ709190,89-2369,+
OQ709190.1|,Picornavirales 3C/3C-like protease domain,Picornavirales 3C/3C-like protease domain profile.,ProSiteProfiles,3C-like serine protease motif,1A,175.0,365.0,OQ709190,89-2369,+
OQ709190.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1.0,116.0,OQ709190,89-2369,+
OQ709190.1|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,599.0,712.0,OQ709190,89-2369,+
OQ709190.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,116.0,138.0,OQ709190,89-2369,+
OQ709190.1|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,,,OQ709190,89-2369,+
OQ709190.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,117.0,138.0,OQ709190,89-2369,+
OQ709190.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,139.0,760.0,OQ709190,89-2369,+
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,304.0,326.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,117.0,142.0,PQ421845,3756-6080,-
PQ421845.3|,-,SignalP-TM,SignalP_GRAM_POSITIVE,non-structural; results from a translational frameshift between ORF1a and ORF1b,,1.0,17.0,PQ421845,3756-6080,-
PQ421845.3|,"Peptidase S1, PA clan, chymotrypsin-like fold",-,Gene3D,-,-,,,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,298.0,303.0,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,326.0,330.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,277.0,297.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,117.0,139.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,331.0,350.0,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,143.0,222.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,223.0,245.0,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,351.0,774.0,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1.0,116.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,223.0,245.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,304.0,325.0,PQ421845,3756-6080,-
PQ421845.3|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,246.0,276.0,PQ421845,3756-6080,-
PQ421845.3|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,278.0,297.0,PQ421845,3756-6080,-
PQ421845.2|,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,134.0,256.0,PQ421845,2101-3465,-
PQ421845.2|,-,ps-ssRNAv_Astroviridae_RdRp,CDD,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,57.0,287.0,PQ421845,2101-3465,-
PQ421845.2|,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,,,PQ421845,2101-3465,-
PQ421845.1|,Viral coat protein subunit,-,Gene3D,-,-,,,PQ421845,159-1940,-
PQ421845.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,1.0,50.0,PQ421845,159-1940,-
PQ421845.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,51.0,73.0,PQ421845,159-1940,-
PQ421845.1|,-,consensus disorder prediction,MobiDBLite,Protein sequence is in conflict with the conceptual translation; ORF1b,1B,1.0,36.0,PQ421845,159-1940,-
PQ421845.1|,-,consensus disorder prediction,MobiDBLite,Protein sequence is in conflict with the conceptual translation; ORF1b,1B,7.0,18.0,PQ421845,159-1940,-
PQ421845.1|,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,74.0,593.0,PQ421845,159-1940,-
PQ421845.1|,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,51.0,73.0,PQ421845,159-1940,-
MW853972.1|,P-loop containing nucleoside triphosphate hydrolase,-,Gene3D,-,-,,,MW853972,1-3630,+
MW853972.1|,Alphavirus-like methyltransferase domain,Alphavirus-like methyltransferase (MT) domain profile.,ProSiteProfiles,An enzyme that catalyzes the replication of RNA from an RNA template,,1.0,104.0,MW853972,1-3630,+
