"ID","Version","GenBank.title","Release.date","Organism.name","Virus.Lineage","Species","Family","Length","Submitters","Strain","Isolate_x","Geo.location","Country","Collection.date","Tissue.Specimen.Source","Host","Environmental","CDS.count","Artificial","UNVERIFIED","X1A","X1A.strand","X1B","X1B.strand","X2","X2.strand","class","clade_color","color"
"PX237222","PX237222.1","Pigeon astrovirus isolate pigeon/FSU1, complete genome","08-SEP-2025","Pigeon astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae","","Astroviridae",6960,"Chen,J., Tan,S., Lu,Q. and Wang,X.","","pigeon/FSU1","China",NA,"04-Jul-2025","","Pigeon","No",3,"No","No","86-3098",1,"3091-4618",1,"4636-6682",1,"Aves","P",NA
"PV793827","PV793827.1","MAG: Astroviridae sp. isolate AstroviridaeCranefe81 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","16-JUL-2025","Astroviridae sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae","","Astroviridae",7275,"Gao,J. and Ni,B.","","AstroviridaeCranefe81","China",NA,"Jan-2024","Siberian crane feces","Leucogeranus leucogeranus","Yes",0,"No","No","100-3406",1,"3390-4938",1,"4931-7178",1,"Aves","B",NA
"PV793829","PV793829.1","MAG: Avastrovirus sp. isolate AstroviridaeGoosefe94 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","16-JUL-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7104,"Gao,J. and Ni,B.","","AstroviridaeGoosefe94","China",NA,"Jan-2024","wild geese feces","Anser sp.","Yes",0,"No","No","42-3228",1,"3230-4757",1,"4683-6879",1,"Aves","B",NA
"PV793828","PV793828.1","MAG: Avastrovirus sp. isolate AstroviridaeGoosefe87 non-structural polyprotein-like, RNA-dependent RNA polymerase-like, and capsid protein-like genes, complete sequence","16-JUL-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7416,"Gao,J. and Ni,B.","","AstroviridaeGoosefe87","China",NA,"Jan-2024","wild geese feces","Anser sp.","Yes",0,"No","No","142-3511",1,"3495-5046",1,"4924-7243",1,"Aves","B",NA
"PV793826","PV793826.1","MAG: Astroviridae sp. isolate AstroviridaeCranefe67 ORF1a-like, ORF1b-like, and ORF2-like genes, complete sequence","16-JUL-2025","Astroviridae sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae","","Astroviridae",7211,"Gao,J. and Ni,B.","","AstroviridaeCranefe67","China",NA,"Jan-2024","Siberian crane feces","Leucogeranus leucogeranus","Yes",0,"No","No","70-3358",1,"3342-4896",1,"4889-7124",1,"Aves","B",NA
"PV780437","PV780437.1","Goose astrovirus isolate JX05, complete genome","29-JUN-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7186,"Li,H.","","JX05","China",NA,"28-Apr-2025","","Anser anser","No",3,"No","No","22-3277",1,"3267-4818",1,"4836-6951",1,"Aves",NA,NA
"PV780436","PV780436.1","Goose astrovirus isolate JX04, complete genome","29-JUN-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7179,"Li,H.","","JX04","China",NA,"27-Jan-2023","","Anser anser","No",3,"No","No","15-3270",1,"3260-4811",1,"4829-6944",1,"Aves",NA,NA
"PV780435","PV780435.1","Goose astrovirus isolate JX03, complete genome","29-JUN-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7177,"Li,H.","","JX03","China",NA,"27-Jan-2023","","Anser anser","No",3,"No","No","13-3268",1,"3258-4809",1,"4827-6942",1,"Aves",NA,NA
"PV780434","PV780434.1","Goose astrovirus isolate JX02, complete genome","29-JUN-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7217,"Li,H.","","JX02","China",NA,"27-Jan-2023","","Anser anser","No",3,"No","No","53-3308",1,"3298-4849",1,"4867-6982",1,"Aves",NA,NA
"PP871812","PP871812.1","MAG: Avastrovirus sp. isolate astro_vt_94 genomic sequence","14-JUN-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7130,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.","","astro_vt_94","Viet Nam",NA,"21-Dec-2014/02-Apr-2016","rectal swab","Canis lupus familiaris","Yes",3,"No","No","0-3381",1,"3362-4922",1,"4946-7109",1,"Mammalia","B",NA
"PP871808","PP871808.1","MAG: Avastrovirus sp. isolate astro_vt_90 genomic sequence","14-JUN-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6652,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.","","astro_vt_90","Viet Nam",NA,"16-Jun-2015/02-Apr-2016","rectal swab","Gallus gallus","Yes",3,"No","No","0-3018",1,"3014-4538",1,"4605-6591",1,"Aves","P",NA
"PP871804","PP871804.1","MAG: Avastrovirus sp. isolate astro_vt_86 genomic sequence","14-JUN-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7369,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.","","astro_vt_86","Viet Nam",NA,"29-May-2014/16-Mar-2015","rectal swab, feces","Canis lupus familiaris","Yes",3,"No","No","0-3420",1,"3401-4961",1,"4985-7148",1,"Mammalia","B",NA
"PP871798","PP871798.1","MAG: Avastrovirus sp. isolate astro_vt_80 genomic sequence","14-JUN-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6822,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.","","astro_vt_80","Viet Nam",NA,"09-Apr-2015/14-Apr-2015","rectal swab, feces","Sus scrofa (wild boar)","Yes",3,"No","No","0-3021",1,"3017-4541",1,"4560-6609",1,"Mammalia","P",NA
"PP871786","PP871786.1","MAG: Avastrovirus sp. isolate astro_vt_68 genomic sequence","14-JUN-2025","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6791,"Armero,A., Nguyen,C.V., Kha,N.M., Nguyen,C.N.M., Le,C.T.T., Nguyen,V.T.B., Bui,C.M., Pham,A.H., Voong,P.V., Tran,D.T.N., Thwaites,G.E., Pham,D.T., Daszak,P. and Firth,C.","","astro_vt_68","Viet Nam",NA,"08-Jul-2014/11-Oct-2016","rectal swab","Gallus gallus","Yes",3,"No","No","148-3187",1,"3183-4707",1,"4726-6772",1,"Aves","P",NA
"PV600843","PV600843.1","Goose astrovirus isolate HNJZ-2023, complete genome","13-MAY-2025","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7183,"Peng,Z.","","HNJZ-2023","China: Henan",NA,"2023","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"PV524668","PV524668.1","Goose astrovirus 2 isolate JXNC1, complete genome","23-APR-2025","Goose astrovirus 2","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7173,"Zhang,F., Xie,Q. and Ye,J.","","JXNC1","China: Jiangxi",NA,"15-Mar-2025","liver; spleen","Goose","No",3,"No","No","18-3264",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"PV169360","PV169360.1","Duck astrovirus strain HN24XY06, complete genome","05-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7755,"Jiao,F.","HN24XY06","","China",NA,"2024","","Duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134528","OR134528.1","Duck astrovirus strain AHK-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","AHK-2022","","China",NA,"26-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves","B",NA
"OR134527","OR134527.1","Duck astrovirus strain JSJ-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","JSJ-2022","","China",NA,"22-Oct-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134526","OR134526.1","Duck astrovirus strain ZJI-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","ZJI-2022","","China",NA,"10-Nov-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134525","OR134525.1","Duck astrovirus strain ZJH-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","ZJH-2022","","China",NA,"16-Sep-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134524","OR134524.1","Duck astrovirus strain FJG-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","FJG-2022","","China",NA,"27-Nov-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
"OR134523","OR134523.1","Duck astrovirus strain FJF-2022, complete genome","01-APR-2025","Duck astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini","Avastrovirus intestini","Astroviridae",7754,"Xu,J.J.Y.","FJF-2022","","China",NA,"12-Dec-2022","","Muscovy duck","No",3,"No","No","22-3745",1,"3735-5286",1,"5309-7505",1,"Aves",NA,NA
