Event#,Sequence,Designation, ConsensusConsensus,Parsimony O,Conflict,SubPhPr,TreeSubDist,OuCheck,TreeSubPhPr,TreePhPr,PhPr,TrpScore,dMax(VisRD),DistRank,O:E,SubDist,Parsimony I,SetDistT,SetDistP,O:E Dist,
 1,OR827024/NA/GAstV-JSXZ/goose/2022,Recombinant, 12.920469635374, 0, 0, 10, 5, 5, 8, 18, 4, 0, 7.19274466716394, .532994923857868, 4, 1, 0, 0, 0, 0,
 1,MW786757/NA/SCCD/goose/2018,MajorParent, 6.66545707919076, 0, 0, 5, 10, 5, 4, 14, 8, 4, 6.37838563763979, 0, 4, 0, 0, 2.5, 0, 0,
 1,OP272633/NA/AH33-3/goose/2021,MinorParent, 10.4140732854353, 20, 10, 0, 0, 5, 0, 0, 0, 8, 6.42886969519626, 0, 4, 2, 20, 5, 0, 0,
 2,OP272633/NA/AH33-3/goose/2021,Recombinant, 11.3019403875796, 20, 10, 0, 5, 5, 4, 14, 0, 4, 6.37120223629002, 1.82278481012658, 4, 2, 20, 5, 0, 0,
 2,PP786658/NA/JY202323/goose/2023,MajorParent, 9.28599113687724, 0, 0, 5, 10, 5, 8, 18, 8, 8, 6.53802599292498, .987341772151899, 4, 0, 0, 0, 0, 0,
 2,NC_034567/NA/FLX/Hortobagy-goose/2014,MinorParent, 9.41206847554311, 10, 10, 10, 0, 5, 0, 0, 4, 0, 7.090771770785, .379746835443038, 4, 1, 10, 2.5, 0, 0,
 3,MF768270/NA/NA/pigeon/2014,Recombinant, 20.6556910450179, 20, 10, 10, 10, 5, 8, 18, 8, 8, 8.68800122161693, .328282828282828, 4, 2, 20, 5, 0, 20,
 3,PP478075/NA/PL-pigeon-4a-2023/carrier-pigeon/2023,MajorParent, 3.8891085558747, 0, 0, 0, 0, 5, 4, 14, 0, 4, 4.12283430172791, .303030303030303, 0, 0, 0, 2.5, 0, 15,
 3,AB033998/NA/NA/NA/NA,MinorParent, 5.45520039910744, 10, 5, 5, 5, 5, 0, 0, 4, 0, 7.18916447665516, .429292929292929, 4, 1, 10, 0, 0, 0,
 4,OQ685946/NA/CAstV-ck-TZ-Iringa-2151-IM162-2019/Gallus-gallus/2019,Recombinant, 15.2587282883087, 10, 0, 10, 10, 0, 8, 18, 8, 0, 7.94508633654892, 0, 0, 2, 10, 5, 5, 15,
 4,MN725025/NA/NA/chicken/2018,MajorParent, 8.52640971620682, 20, 10, 0, 0, 10, 0, 0, 0, 4, 5.81676787715434, 1.6624685138539, 4, 0, 20, 0, 0, 20,
 4,OR351273/NA/JS202103/Gallus-gallus/2021,MinorParent, 6.21486199548449, 0, 10, 5, 5, 0, 4, 14, 4, 8, 6.23814578629674, 0, 0, 1, 0, 2.5, 5, 0,
