ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,Start,End,Source File
HUANSSPS.n+1,Mamastrovirus p20 protein,Astroviridae polyprotein 1,Pfam,Capsid precursor protein,2,783,938,
HUANSSPS.n+1,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,464,610,
HUANSSPS.n+1,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,474,592,
HUANSSPS.n+1,Astrovirus transmembrane protein 1A,Astrovirus transmembrane protein 1A,Pfam,1a,1A,203,446,
HUANSSPS.n+1,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,691,782,interpro_выдача/not_annot_CDS_pfam_superfamily.csv
HUANSSPS.n+1,Astrovirus p19 protein,Astrovirus p19 protein,Pfam,Capsid precursor protein,2,28,201,
AY257977.n+0,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,97,188,interpro_выдача/not_annot_CDS_pfam_superfamily.csv
AY257977.n+0,Mamastrovirus p20 protein,Astroviridae polyprotein 1,Pfam,Capsid precursor protein,2,189,343,
HV511037.n+1,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,722,810,interpro_выдача/not_annot_CDS_pfam_superfamily.csv
HV511037.n+1,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,498,653,
EF490429.n+0,Astrovirus transmembrane protein 1A,Astrovirus transmembrane protein 1A,Pfam,1a,1A,2,54,
OR951013.n+1,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,23,106,interpro_выдача/not_annot_CDS_pfam_superfamily.csv
MN035429.n+1,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,7,338,
MN035429.n+1,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,14,373,
PQ110289.n+1,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,123,254,
OQ986647.n+2,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,1,174,
OQ986647.n+2,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,1,164,
OR871060.n+2,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,12,309,
OR871060.n+2,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,12,374,
MN733910.n+2,Major facilitator superfamily,Major Facilitator Superfamily,Pfam,ANVgp1; ORF1a linked to ORF1b by ribosomal frameshift,,15,152,
