ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,Start,End,Source File
PQ055536.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,59,421,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055536.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,75,469,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289198.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,567,694,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289198.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,558,706,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289198.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,778,871,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211222.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,40,422,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211222.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,121,373,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421842.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,21,367,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421842.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055536.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,491,644,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421844.3|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,587,643,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421844.3|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,405,555,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421842.1|,-,Positive stranded ssRNA viruses,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,17,104,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421842.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421851.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,12,316,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421851.1|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,26,288,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289196.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,485,612,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289196.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,483,624,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289196.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,696,789,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289197.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,476,626,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289197.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,696,789,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289197.1|,-,Trypsin-like peptidase domain,Pfam,"Non structural gene; 2b like nuclear targetting sequence, serine protease",1A,485,612,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055539.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,154,314,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055539.1|,"Peptidase C3A/C3B, picornaviral",3C cysteine protease (picornain 3C),Pfam,3C-like serine protease motif,1A,273,307,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421853.1|,-,Positive stranded ssRNA viruses,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,17,105,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421853.1|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,10,177,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421848.1|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,622,678,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421848.1|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,440,635,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289196.3|,"Astrovirus capsid protein, inner core domain",Astrovirus capsid protein nucleoplasmin-like domain,Pfam,Capsid,2,12,251,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PX289196.3|,"Capsid polyprotein VP90, C-terminal",C-terminal tail of astrovirus capsid projection or spike,Pfam,An enzyme that catalyzes the replication of RNA from an RNA template,,425,665,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211223.1|,P-loop containing nucleoside triphosphate hydrolase,P-loop containing nucleoside triphosphate hydrolases,SUPERFAMILY,Ha,,244,477,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211223.1|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,655,900,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211223.1|,(+) RNA virus helicase core domain,Viral superfamily 1 RNA helicase core domain,Pfam,-,1A,245,472,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PP211223.1|,"RNA-dependent RNA polymerase, alsuviricetes",RNA dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,574,957,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421852.2|,Astrovirus VPg protein,Astrovirus VPg protein,Pfam,-,1A,312,368,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421852.2|,"Peptidase S1, PA clan",Trypsin-like serine proteases,SUPERFAMILY,3C-like serine protease motif,1A,130,293,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421843.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,21,367,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ421843.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,11,337,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055538.2|,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,227,433,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
PQ055538.2|,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,5' translation start site undetermined; contains RNA-dependent RNA polymerase motif,1B,131,431,interpro_выдача/not_annot_targetCDS_ids_part1_pfam_superfamily.csv
