ID белка,product,Хэш-белка,Длина белка,Источник предсказания,ID домена/мотива,Описание предсказания,Начало,Конец,E-value,Unnamed: 9,Дата,Unnamed: 11,Название семейства/белка,Unnamed: 13,Unnamed: 14
OQ709194.1|,polyprotein,18d966d090947c45f8538882a1f19b67,367,Pfam,PF00548,3C cysteine protease (picornain 3C),1,100,3.9E-16,T,30-10-2025,IPR000199,"Peptidase C3A/C3B, picornaviral",GO:0004197(InterPro)|GO:0006508(InterPro),MetaCyc:PWY-6545|MetaCyc:PWY-7184|MetaCyc:PWY-7185|MetaCyc:PWY-7198|MetaCyc:PWY-7210
OQ709194.1|,polyprotein,18d966d090947c45f8538882a1f19b67,367,Pfam,PF00680,Viral RNA-dependent RNA polymerase,150,367,4.7E-26,T,30-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
OQ802757.1|,nonstructural polyprotein,c78aeaafb716a38f041aafa6fad40af7,188,Pfam,PF00680,Viral RNA-dependent RNA polymerase,91,188,4.3E-9,T,30-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
OQ802714.1|,nonstructural polyprotein,e03db3e4bc1779e965cb203a0478205b,160,Pfam,PF00978,RNA dependent RNA polymerase,47,158,5.6E-6,T,30-10-2025,IPR001788,"RNA-dependent RNA polymerase, alsuviricetes",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),-
MW239205.1|,hypothetical protein,a0968cbf78f8ffe73e82bd81a694e5af,421,Pfam,PF00680,Viral RNA-dependent RNA polymerase,66,395,8.7E-59,T,30-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
OQ709189.1|,polyprotein,306b095a339179db562652eecb006b1a,874,Pfam,PF00910,RNA helicase,128,227,4.8E-27,T,30-10-2025,IPR000605,"Helicase, superfamily 3, single-stranded DNA/RNA virus",GO:0003723(InterPro)|GO:0003724(InterPro),-
OQ709189.1|,polyprotein,306b095a339179db562652eecb006b1a,874,Pfam,PF00548,3C cysteine protease (picornain 3C),461,625,7.6E-43,T,30-10-2025,IPR000199,"Peptidase C3A/C3B, picornaviral",GO:0004197(InterPro)|GO:0006508(InterPro),MetaCyc:PWY-6545|MetaCyc:PWY-7184|MetaCyc:PWY-7185|MetaCyc:PWY-7198|MetaCyc:PWY-7210
OQ709189.1|,polyprotein,306b095a339179db562652eecb006b1a,874,Pfam,PF00680,Viral RNA-dependent RNA polymerase,666,867,8.5E-19,T,30-10-2025,IPR001205,"RNA-directed RNA polymerase, C-terminal domain",GO:0003723(InterPro)|GO:0003968(InterPro)|GO:0006351(InterPro),Reactome:R-HSA-191859|Reactome:R-HSA-918233|Reactome:R-HSA-9679504|Reactome:R-HSA-9682706|Reactome:R-HSA-9682708|Reactome:R-HSA-9683439|Reactome:R-HSA-9684325|Reactome:R-HSA-9692916|Reactome:R-HSA-9694271|Reactome:R-HSA-9694301|Reactome:R-HSA-9694676|Reactome:R-HSA-9694686|Reactome:R-HSA-9694786|Reactome:R-HSA-9705671|Reactome:R-HSA-9735869|Reactome:R-HSA-9754678
OQ709189.1|,polyprotein,306b095a339179db562652eecb006b1a,874,Pfam,PF08727,Poliovirus 3A protein like,361,397,1.4E-6,T,30-10-2025,IPR014838,Poliovirus 3A protein-like,GO:0003968(InterPro)|GO:0004197(InterPro)|GO:0017111(InterPro),MetaCyc:PWY-6545|MetaCyc:PWY-7184|MetaCyc:PWY-7185|MetaCyc:PWY-7198|MetaCyc:PWY-7210
OM954095.1|,non-structural polyprotein,694b3eb7f3e9f25ba59f81a2c4672fe0,906,Pfam,PF01660,Viral methyltransferase,60,344,3.0E-21,T,30-10-2025,IPR002588,Alphavirus-like methyltransferase domain,GO:0003723(InterPro)|GO:0006396(InterPro)|GO:0008174(InterPro)|GO:0016556(InterPro),MetaCyc:PWY-1061|MetaCyc:PWY-2083|MetaCyc:PWY-3542|MetaCyc:PWY-4021|MetaCyc:PWY-4161|MetaCyc:PWY-4202|MetaCyc:PWY-5059|MetaCyc:PWY-5105|MetaCyc:PWY-5301|MetaCyc:PWY-5305|MetaCyc:PWY-5479|MetaCyc:PWY-5665|MetaCyc:PWY-5729|MetaCyc:PWY-5748|MetaCyc:PWY-5765|MetaCyc:PWY-5773|MetaCyc:PWY-5846|MetaCyc:PWY-5883|MetaCyc:PWY-5975|MetaCyc:PWY-5987|MetaCyc:PWY-601|MetaCyc:PWY-6045|MetaCyc:PWY-6148|MetaCyc:PWY-6153|MetaCyc:PWY-6154|MetaCyc:PWY-6286|MetaCyc:PWY-6310|MetaCyc:PWY-6339|MetaCyc:PWY-6346|MetaCyc:PWY-6427|MetaCyc:PWY-6442|MetaCyc:PWY-6477|MetaCyc:PWY-6581|MetaCyc:PWY-6682|MetaCyc:PWY-6736|MetaCyc:PWY-6739|MetaCyc:PWY-6795|MetaCyc:PWY-6835|MetaCyc:PWY-6955|MetaCyc:PWY-6973|MetaCyc:PWY-6976|MetaCyc:PWY-6978|MetaCyc:PWY-7025|MetaCyc:PWY-7045|MetaCyc:PWY-7055|MetaCyc:PWY-7058|MetaCyc:PWY-7072|MetaCyc:PWY-7076|MetaCyc:PWY-7079|MetaCyc:PWY-7100|MetaCyc:PWY-7104|MetaCyc:PWY-7135|MetaCyc:PWY-7150|MetaCyc:PWY-7151|MetaCyc:PWY-7155|MetaCyc:PWY-7157|MetaCyc:PWY-7160|MetaCyc:PWY-7161|MetaCyc:PWY-7163|MetaCyc:PWY-7186|MetaCyc:PWY-7285|MetaCyc:PWY-7298|MetaCyc:PWY-7301|MetaCyc:PWY-7325|MetaCyc:PWY-7363|MetaCyc:PWY-7439|MetaCyc:PWY-7440|MetaCyc:PWY-7483|MetaCyc:PWY-7485|MetaCyc:PWY-7498|MetaCyc:PWY-7517|MetaCyc:PWY-7533|MetaCyc:PWY-7534|MetaCyc:PWY-7547|MetaCyc:PWY-7564|MetaCyc:PWY-7569|MetaCyc:PWY-7570|MetaCyc:PWY-7591|MetaCyc:PWY-7607|MetaCyc:PWY-7608|MetaCyc:PWY-7614|MetaCyc:PWY-7629|MetaCyc:PWY-7631|MetaCyc:PWY-7643|MetaCyc:PWY-7653|MetaCyc:PWY-7655|MetaCyc:PWY-7659|MetaCyc:PWY-7661|MetaCyc:PWY-7667|MetaCyc:PWY-7668|MetaCyc:PWY-7669|MetaCyc:PWY-7671|MetaCyc:PWY-7673|MetaCyc:PWY-7689|MetaCyc:PWY-7691|MetaCyc:PWY-7692|MetaCyc:PWY-7695|MetaCyc:PWY-7705|MetaCyc:PWY-7717|MetaCyc:PWY-7729|MetaCyc:PWY-7735|MetaCyc:PWY-7737|MetaCyc:PWY-7739|MetaCyc:PWY-7741|MetaCyc:PWY-7742|MetaCyc:PWY-7743|MetaCyc:PWY-7745|MetaCyc:PWY-7751|MetaCyc:PWY-7765|MetaCyc:PWY-7811|MetaCyc:PWY-7826|MetaCyc:PWY-7977|MetaCyc:PWY-8031|MetaCyc:PWY-8035|MetaCyc:PWY-8036|MetaCyc:PWY-8040|MetaCyc:PWY-8047|MetaCyc:PWY-8076|MetaCyc:PWY-8077|MetaCyc:PWY-8095|MetaCyc:PWY-8096|MetaCyc:PWY-8100|MetaCyc:PWY-8103|MetaCyc:PWY-8104|MetaCyc:PWY-8122|MetaCyc:PWY-8172|MetaCyc:PWY-8210|MetaCyc:PWY-8212|MetaCyc:PWY-8238|MetaCyc:PWY-8257|MetaCyc:PWY-8326|MetaCyc:PWY-8327|MetaCyc:PWY-8361|MetaCyc:PWY-8364|MetaCyc:PWY-8367|MetaCyc:PWY-8368|MetaCyc:PWY-8379|MetaCyc:PWY-8380|MetaCyc:PWY-8381|MetaCyc:PWY-8424|MetaCyc:PWY-8426|MetaCyc:PWY-8437|MetaCyc:PWY-8438|MetaCyc:PWY-8463|MetaCyc:PWYG-321
